(Dollars in millions, amounts pretax)    2020    2019    2018
Gains (Losses) Recognized in Accumulated OCI on Derivatives,
Cash flow hedges,
Interest rate risk on variable-rate assets (1)    $763    $671    $(159),
Price risk on forecasted MBS purchases (1)    $241    $(0)    $(0),
Price risk on certain compensation plans (2)    $85    $34    $4,
Total    $1,089    $705    $(155)
Net investment hedges,
Foreign exchange risk (3)    $(834)    $22    $989,
Gains (Losses) in Income Reclassified from Accumulated OCI,
2020    2019    2018,
$(7)    $(0)    $(0),
$14    $(106)    $(138),
