(Dollars in milions) U.S.(3),,Total Assets at,"Total Revenue, Net of Interest",Income Before,
(Dollars in milions) U.S.(3),2020,"Year End(1) $ 2,490,247","Expense(2) $ 75,576","IncomeTaxes 18,247","Net Income $ 16,692"
(Dollars in milions) U.S.(3),2019,"2,122,734","81,236","30,699","25,937"
(Dollars in milions) U.S.(3),,,"80,777","31,904","26,407"
(Dollars in milions) U.S.(3),2018,"99,283","4,232","1,051",788
Asia,2020 2019,"102,440","3,491",765,570
Asia,2018,,"3,507",865,520
Asia,2020,"202,701","4,491",(596),264
"Europe,Middle East and Africa",2019,"178,889","5,310",921,672
"Europe,Middle East and Africa",2018,,"5,632","1,543","1,126"
"Europe,Middle East and Africa",2020,"27,396","1,229",293,150
Latin America and the Caribbean,2019,"30,016","1,207",369,251
Latin America and the Caribbean,2018,,"1,104",272,94
Latin America and the Caribbean,2020,"329,380","9,952",748,"1,202"
Total Non-U.S.,2019,"311,345","10,008","2,055","1,493"
Total Non-U.S.,2018,,"10,243","2,680","1,740"
Total Non-U.S.,2020,"$ 2,819,627","$ 85,528","$ 18,995","$ 17,894"
Total Consolidated,2019,"2,434,079","91,244","32,754","27,430"
Total Consolidated,2018,,"91,020","34,584","28,147"
Total Consolidated,,,,,
