THEME,METRIC,RESPONSE
Climate Change,"Greenhouse Gas (GHG) emissions: For all relevant greenhouse gases (e.g. carbon dioxide,methane,nitrous oxide,F-gases etc.),report in metric tonnes of carbon dioxide equivalent (tCO2e) GHG Protocol Scope 1 and Scope 2 emissions. Estimate and report material upstream and downstream (GHG Protocol Scope 3) emissions where appropriate.","Bank of America's 2019 greenhouse gas emissions (tCO2e) are as follows. Since 2010,we have reduced location-based emissions 56% globally. For more information,refer to our ESG Performance Data Summary (2019) available at www.bankofamerica.com/ESGData."
Scope 1,,"62,639"
Location-based Scope 2,,"728,771"
Market-Based Scope 2,,"17,523"
Total net Scope 1 and Market-Based Scope 2,,
Scope 3 Purchased Goods and Services,,"329,208"
Scope 3 Capital Goods,,"251,336"
Scope 3 Fuel- and Energy-Related Activities,,"161,151"
Scope 3 Upstream Transportation and Distribution,,"140,215"
Scope 3 Waste (Traditional Disposal),,"22,386"
Scope 3 Business Travel,,"162,457"
Scope 3 Employee Commuting,,"378,088"
Scope 3 Downstream Transportation and Distribution,,"1,400,000"
Scope 3 Use of Sold Products,,"4,000"
Scope 3 End of Life Treatment of Sold Products,,"19,000"
"TCFD implementation: Fully implement the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD). If necessary, disclose a timeline of at most three years for full implementation. Disclose whether you have set,or have committed to set GHG emissions targets that are in line with the goals of the Paris Agreement — to limit global warming to well-below 2°C above pre-industrial levels and pursue efforts to limit warming to 1.5°C — and to achieve net-zero emissions before 2050.",,"In 2020,Bank of America released its Task Force on Climate-related Financial Disclosures (TCFD) Report available at www.bankofamerica.com/TCFD."
"In early 2021, Bank of America took the next step in our climate journey by publicly committing to achieve net zero greenhouse gas emissions before 2050 across our operations,supply chain,and financing activities. For more information,refer to www.bankofamerica.com/NetZero.",,
Paris-aligned GHG emissions targets: Define and report progress against time-bound science-based GHG emissions targets that are in line with the goals of the Paris Agreement — to limit global warming to well-below 2°C above pre-industrial levels and pursue efforts to limit warming to 1.5°C. This should include defining a date before 2050 by which you will achieve net-zero greenhouse gas emissions and interim reduction targets based on the methodologies provided by the Science Based Targets initiative if applicable.,,"To reach the goals of the Paris Agreement,we are developing a strategy across our entire value chain which includes setting interim emission reduction targets based on science,engaging with clients on climate goals and supporting climate innovation. Our net zero goal includes operations (Scope 1 and 2),supply chain (Scope 3 upstream emissions) and all material emissions attributed to our loans and investments (Scope 3 investments). For more information,refer to www.bankofamerica.com/NetZero."
Fresh water availability,the valued societal impact of greenhouse gas emissions. Disclose the estimate of the social/societal cost of carbon used and the source or basis for this estimate.,
"Water consumption and withdrawal in water-stressed areas: Report for operations where material, mega litres of water withdrawn,mega litres of water consumed and the percentage of each in regions with high or extremely high baseline water stress according to WRI Aqueduct water risk atlas tool. Estimate and report the same information for the full value chain (upstream and downstream) where appropriate.",,"In 2019,Bank of America withdrew 7,550 and consumed 1,630 mega liters of water from our global operations. Of this,38% of withdrawals and 41% of consumption were from regions with high or extremely high baseline water stress according to the WRI Aqueduct water risk atlas tool."
,,"The societal impact of Bank of America's Scope 1,Scope 2 (location-based),and Scope 3 (Categories 1–7,9,11–12) emissions in 2019 was estimated to be $238 million. This figure was calculated using the EPA's 2020 social cost of carbon of $42/metric ton CO2 (3% discount rate,reported in 2007 USD)."
