Amount,Percent of Total,Percent of Loans and Leases Outstanding,(1),Percent of Total,Percent of Loans and Leases Outstanding,(2),Percent of Total,Percent of Loans and Leases Outstanding
Residential mortgage,459,2.44 %,0.21%,,212,1.72 %,0.09% %,325
Home equity,399,2.12,1.16,,228,1.84,0.57,221
Credit card,8420,44.79,10.70,,6809,55.10,6.98,3710
Direct/Indirect consumer,752,4.00,0.82,,566,4.58,0.62,234
Other consumer,41,0.22,n/m,,55,0.45,n/m,52
Total consumer,10071,53.57,2.35,,7870,63.69,1.69,4542
U.S. commercial (2),5043,26.82,1.55,,2723,22.03,0.84,3015
Non-U.S.commercial,1241,6.60,1.37,,668,5.41,0.64,658
Commercial real estate,2285,12.15,3.79,,1036,8.38,1.65,1042
Commercial lease financing,162,0.86,0.95,,61,0.49,0.31,159
Total commercial,8731,46.43,1.77,,4488,36.31,0.88,4874
Allowance for loan and lease losses,18802,100.00 %,2.04,,12358,100.00 %,1.27,9416
Reserve for unfunded lending commitments,1878,,,,1123,,,813
Allowance for credit losses,20680,,,,13481,,,10229
