(Dollars in millions),December 31,December 31,December 31
(Dollars in millions),2020,2020,2019
Deferred taxassets,,,
Net operating loss carryforwards,$,"7,717 $","7,417"
Allowance for credit losses,"4,701",,"2,354"
"Security, loan and debt valuations","2,571",,"1,860"
Lease liability,,"2,400","2,321"
Employee compensation and retirement benefits,,"1,582","1,622"
Accrued expenses,,"1,481","1,719"
Credit carryforwards,,484,183
Other,,"1,412","1,203"
Gross deferred taxassets,,"22,348","18,679"
Valuation allowance,,"(2,346)","(1,989)"
"Total deferred tax assets,net of valuation",,,
allowance,,"20,002","16,690"
Deferred tax liabilities,,,
Equipment lease financing,,"3,101","2,933"
Right-to-use asset,,"2,296","2,246"
Fixed assets,,"1,957","1,505"
ESG-related tax credit investments,,"1,930","1,577"
Available-for-sale securities,,"1,701",100
Other,,"1,570","1,885"
Grossdeferred tax liabilities,,"12,555","10,246"
Netdeferred taxassets,$,"7,447",$
,,,"6,444"
