,Global Markets,Global Markets,Global Markets,Global Markets,All Other,All Other,All Other,All Other
,2020,2019,,2018,2020,,2019,2018
Net interest income,"$ 4,646",$,"3,915 $","3,857",$,34 $,234,$ 632
Noninterest income,"14,120",,"11,699","12,326","(3,606)",,"(2,617)","(2,257)"
"Total revenue,netof interest expense","18,766",,"15,614","16,183","(3,572)",,"(2,383)","(1,625)"
Provision for credit losses,,251,(9),,,50,(669),(476)
Noninterest expense,"11,422",,"10,728","10,835","1,422",,"3,690","1,887"
Income (loss) before income taxes,,"7,093","4,895","5,348","(5,044)",,"(5,404)","(3,036)"
Income tax expense (benefit),,"1,844","1,395","1,390","(4,637)",,"(4,048)","(2,780)"
Net income (loss),$,"5,249 $","3,500 $","3,958",,(407) $,"(1,356)",$ (256)
Period-end total assets,$,"616,609 $","641,809",,"$ 264,141",$,"224,375",
