Standardized Approach (1,2),Advanced Approaches (1),Regulatory Minimum (3),December 31, 2020,December 31, 2019,December 31, 2020,December 31, 2019
"Dollars in millions, except as noted",Risk-based capital metrics:,Risk-based capital metrics:,Risk-based capital metrics:,Leverage-based metrics:,Leverage-based metrics:,Leverage-based metrics:,,,,,
Common equity tier 1 capital,$164,593,$164,593,$154,626,$154,626,$164,593,"$154,626"
Tier 1 capital,$164,593,$164,593,$154,626,$154,626,$164,593,"$154,626"
Total capital (4),181,370,170,922,166,567,158,665,181,370,"166,567"
Risk-weighted assets (in billions),1,221,1,014,1,241,991,1,221,1,241
Common equity tier 1 capital ratio,13.5 %,16.2 %,12.5 %,15.6 %,13.5 %,12.5,,,,,
Tier 1 capital ratio,13.5,16.2,12.5,15.6,13.5,12.5,,,,,
Total capital ratio,14.9,16.9,13.4,16.0,14.9,13.4,,,,,
Leverage-based metrics:,Adjusted quarterly average assets (in billions) (5),Adjusted quarterly average assets (in billions) (5),Adjusted quarterly average assets (in billions) (5),Tier 1 leverage ratio,Tier 1 leverage ratio,Tier 1 leverage ratio,,,,,
$2,143,$2,143,$1,780,7.7 %,7.7 %,8.7 %,5.0,,
Supplementary leverage exposure (in billions),2,525,,2,177,6.5 %,,7.1 %,6.0,,
Supplementary leverage ratio,,Supplementary leverage ratio,,Supplementary leverage ratio,,Supplementary leverage ratio,,,,,
