,Market making and similar activities,Other Income,Total
,,2020,$
(Dollars in millions) Loans reported as trading account assets,107,$,107
Trading inventoryother(1),"3,216",,"3,216"
Consumer and commercial loans,,,19
Loans held-for-sale (2),,(3) 103,103
Short-term borrowings,(170),1,(170)
Unfunded loan commitments,,(65),(65)
Long-term debt (3),"(2,175)",(53),"(2,228)"
Other(4),35,(22),13
Total,"1,035$",(40）$,995
,,2019,
Loans reported as trading account assets Tradinginventory-other(),$,$,203
Consumer and commercial loans,,,"5,795 104"
Loans held-for-sale (2),,12 98,98
Short-term borrowings,,,
Unfunded loan commitments,,一,(24)
Long-term debt (3),"(1,098)",79,"79 (1,176)"
Other(4),,(78) (27),(18)
Total,$,84$,"5,061"
,"4,977",$,
,$,2018 8$,
Loans reported as trading account assets Trading inventory-other(),,,8
Consumer and commercial loans,,(53),"1,750 (475)"
Loans held-for-sale (2),,24,25
Short-term borrowings,,1,2
Unfunded loan commitments,,(49),(49)
Long-term debt (3),"2,157",(93),"2,064"
Other (4),,18,24
Total,$,$ (153),"3,349"
