Assets,2020,2019,% Change
Cash and cash equivalents,"$ 380,463","$ 161,560",135%
Federal funds sold and securities borrowed or purchased under agreements to resell,"304,058","274,597",11
Trading account assets,"198,854","229,826",(13)
Debt securities,"684,850","472,197",45
Loans and leases,"927,861","983,426",(6)
Allowance for loan and lease losses,"(18,802)","(9,416)",100
All other assets,"342,343","321,889",6
Total assets,"$ 2,819,627","$ 2,434,079",16
Liabilities,2020,2019,% Change
Deposits,"$ 1,795,480","$ 1,434,803",25
Federal funds purchased and securities loaned or sold under agreements to repurchase,"170,323","165,109",3
Trading account liabilities,"71,320","83,270",(14)
Short-term borrowings,"19,321","24,204",(20)
Long-term debt,"262,934","240,856",9
All other liabilities,"227,325","221,027",3
Total liabilities,"$ 2,546,703","$ 2,169,269",17
Shareholders' equity,"272,924","264,810",3
Total liabilities and shareholders' equity,"$ 2,819,627","$ 2,434,079",16
