,Total Realized/,Unrealized Gains,,,,,Gross,Gross,,,Gains (Losses) in Net Income Related to
,Balance January1,(Losses) in Net Income (2),Gains (Losses) in ocl (3) Purchases,Gross,Gross,Gross,Transfers into,,Transfers out of,Balance,Financial Instruments
"(Dollars in millions) Year Ended December 31,2020",,,,,Sales Issuances,,Settlements,Level 3,Level3,December 31,Still Held (2)
Trading account assets:,,,,,,,,,,,
"Corporate securities,trading loans and other","$ 1,507 $",(138) $,(1)$,,430 $(242) $,10$,(282) $,639$,(564)$,"1,359$",(102)
Equity securities,239,(43),,78,(53),,(3),58,(49),227,(31)
Non-U.S.sovereign debt,482,45 (120),(46),76,(61),,(39),150,(253),354,47
"Mortgage trading loans,ABSand other MBS","1,553",,(3),577,(746),11,(96),757,(493),"1,440",(92)
Total trading account assets Netderivativeassets (liablities) (4),"3,781",(256) (235),(50) 1,"1,161 120","(1,102)",21,(420),"1,604","(1,359) 178","3,380 (3,468)",(178)
AFS debt securities:,"(2,538)",,,,(646),,(112),(235),,,(953)
,424,(2),3,23,,,(44),158,(130),378,(2)
Non-agency residential MBS,,,,,(54),,,,,,
Non-U.S. securities,2,1,一,1,(1),,(1),17,1,18,1
Other taxable securities,65,1,1,9,(4),一,1,1,1,71,1
Tax-exempt securities,108,(21),3,一,,,(169),265,(10),176,(20)
Total AFS debt securities,599,(22),6,32,(59),,(214),441,(140),643,(21)
Other debt securities carried at fair value- Non-,299,26,一,,(180),一,(24),190,,267,3
agency residential MBS,,(4),,,,,,,(44),,
Loans and leases (5.6),693,26,(28),145,(76),22,(161),98,1,717,9
Loans held-for-sale (5.6) Other assets(6.7),375,(288),3,,(489),691 224,(119),93,(313),236,(5)
,"2,360",1,一,178 1,(4),,(506) 一,5,(2) 1,"1,970 1",(374)
Trading account liabilities - Equity securities Trading account liabilities - Corporate securities,(2),,,,1,一,,1,,,1
and other,(15),8,1,(7),(3),一,1,,1,(16),一
_Long-term debt (5),"(1,149)",(46),2,(104),,(47),218,(52),14,"(1,164)",(5)
"Year Ended December 31,2019",,,,,,,,,,,
Trading account assets:,,,,,,,,,,,
"Corporate securities,trading loans and other","$1,558$",105$,一 $,,534 $(390) $,18$,(578）$,699,(439)$,"1,507$",29
Equity securities,276,(12),,38,(87),,(9),79,(46),239,(18)
Non-U.S.sovereign debt,465,46,(12),1,,,(51),39,(6),482,47
"Mortgage trading loans,ABS and other MBS","1,635",99,(2),662,(899),,(175),738,(505),"1,553",26
Total trading account assets,"3,934",238,(14),"1,235","(1,376)",18,(813),"1,555",(996),"3,781",84
Netderivativeassets (liabilites)(4.8),(935),(37),,298,(837),,(97),147,"(1,077)","(2,538)",228
AFS debt securities:,,,,,,,,,,,
Non-agency residential MBS,597,13,64,,(73),,(40),206,(343),424,
Non-U.S.securities,2,,,,,,(5),61,1,2 65,
Other taxable securities Tax-exempt securities,7 一,2 一,,,,,,,,,
