ABS,Asset-backed securities,G-SIB,Global systemically important bank
AFS,Available-for-sale,GSE,Government-sponsored enterprise
AI,Artificial intelligence,GWIM,Global Wealth& Investment Management
ALM,Asset and liability management,HELOC,Home equity line of credit
ARR,Alternative reference rates,HQLA,High Quality Liquid Assets
AUM,Assets under management,HTM,Held-to-maturity
AVM,Automated valuation model,IBOR,Interbank Offered Rates
BANA,"Bank of America,National Association",ICAAP,Internal Capital Adequacy Assessment Process
BHC,Bank holding company,IRLC,Interest rate lock commitment
BofAS,"BofA Securities, Inc.",IRM,Independent Risk Management
BofASE,BofA Securities Europe SA,ISDA,"International Swaps and Derivatives Association,"
bps,basis points,,Inc.
CAE,Chief Audit Executive,LCR,Liquidity Coverage Ratio
CAO,Chief Administrative Officer,LHFS,Loans held-for-sale
CCAR,Comprehensive Capital Analysis and Review,LIBOR,London Interbank Offered Rate
CDO,Collateralized debt obligation,LTV,Loan-to-value
CDS,Credit default swap,MBS,Mortgage-backed securities
CECL,Current expected credit losses,MD&A,Management's Discussion and Analysis of
CET1,Common equity tier 1,,Financial Condition and Results of Operations
CFPB,Consumer Financial Protection Bureau,MLGWM,Merrill Lynch Global Wealth Management
CFTC,Commodity Futures Trading Commission,MLI,Merrill Lynch International
CLO,Collateralized loan obligation,MLPCC,Merrill Lynch Professional Clearing Corp
CLTV,Combined loan-to-value,MLPF&S,"Merrill Lynch,Pierce,Fenner& Smith Incorporated"
CRO,Chief Risk Officer,MRC,Management Risk Committee
CVA,Credit valuation adjustment,MSA,Metropolitan Statistical Area
DIF,Deposit Insurance Fund,MSR,Mortgage servicing right
DVA,Debit valuation adjustment,NOL,Net operating loss
ECL,Expected credit losses,NSFR,Net Stable Funding Ratio
EMRC,Enterprise Model Risk Committee,OCC,Office of the Comptroller of the Currency
EPS,Earnings per common share,OCI,Other comprehensive income
ERC,Enterprise Risk Committee,OREO,Other real estate owned
ESG,"Environmental,social and governance",OTC,Over-the-counter
EU,European Union,PCA,Prompt Corrective Action
FCA,Financial Conduct Authority,PPP,Paycheck Protection Program
FDIC,Federal Deposit Insurance Corporation,RMBS,Residential mortgage-backed securities
FDICIA,Federal Deposit Insurance Corporation,RSU,Restricted stock unit
,Improvement Act of 1991,RWA,Risk -weighted assets
FHA,Federal Housing Administration,SBA,Small Business Administration
FHLB,Federal Home Loan Bank,SBLC,Standby letter of credit
FHLMC,Freddie Mac,SCB,Stress capital buffer
FICC,"Fixed income,currencies and commodities",SCCL,Single-counterparty credit limits
FICO,Fair Isaac Corporation (credit score),SEC,Securities and Exchange Commission
FLUs,Front line units,SLR,Supplementary leverage ratio
FNMA,Fannie Mae,SOFR,Secured Overnight Financing Rate
FTE,Fully taxable-equivalent,SONIA,Sterling Overnight Index Average
FVA,Funding valuation adjustment,TDR,Troubled debt restructurings
GAAP,Accounting principles generally accepted in the,TLAC,Total loss-absorbing capacity
,United States of America,VA,U.S.Department of Veterans Affairs
GDPR,General Data Protection Regulation,VaR,Value-at-Risk
GLS,Global Liquidity Sources,VIE,Variable interest entity
GNMA,Government National Mortgage Association,,
