,Total as of,Total as of,Total as of,Total as of,Total as of,Total as of,Total as of,Total as of,Total as of,,,,,
,"December 31,",,,,,,,,,,,,Revolving,
(Dollars in millions),,2020,2020,,2019,,2018,,2017,,2016,,Prior,Loans
U.S. Commercial,,,,,,,,,,,,,,
Risk ratings Pass rated,$,"268,812",$,"33,456","$ 33,305",$,"17,363",,"14,102",$,"7,420",$,"21,784","$ 141,382"
Reservable criticized,,"19,916",,"2,524","2,542",,"2,689",,854,,698,,"1,402","9,207"
Total U.S.Commercial,$,"288,728",,,"$35,980$ 35,847","$20,052",,,"$14,956",$,"8,118",,"$23,186","$150,589"
Non-U.S. Commercial,,,,,,,,,,,,,,
Risk ratings,,,,,,,,,,,,,,
Pass rated,$,"85,914",,"16,301","$11,396",$,"7,451",$,"5,037",$,"1,674",,"2,194","$41,861"
Reservable criticized Total Non-U.S. Commercial,$,"4,546 90,460",,914,572,,492,,436,,138,,259,"1,735"
,,,,,"$17,215$ 11,968",$,"7,943$",,"5,473$",,"1,812",$,"2,453$ 43,596",
Commercial Real Estate,,,,,,,,,,,,,,
Risk ratings Pass rated,$,"50,260",,"8,429",$,,,,,,,,,
Reservable criticized,,"10,104",,933,"14,126 2,558",$,"8,228 2,115",$,"4,599",$,"3,299",$,"6,542 $ 1,436","5,037 874"
Total Commercial Real Estate,$,"60,364",,,"9,362$ 16,684","$10,343",,$,"1,582 6,181",多,"606 3,905",,"7,978$","5,911"
Commercial Lease Financing,,,,,,,,,,,,,,
Risk ratings,,,,,,,,,,,,,,
Pass rated Reservable criticized,$,"16,384 714",,"3,083 $ 117","3,242",$,"2,956",$,"2,532",$,"1,703",$,"2,868 $",
Total Commercial LeaseFinancing,$,"17,098",,"3,200 $","117 3,359",$,"132 3,088",,"81 2,613$",,"88 1,791",$,"179 3,047$",
U.S.Small Business Commercial(3),,,,,,,,,,,,,,
Risk ratings,,,,,,,,,,,,,,
Pass rated,$,"28,786",,"$24,539 $","1,121",$,837,$,735,$,527,$,855 $,172
Reservable criticized,,"1,148",,76,239,,210,,175,,113,,322,13
"Total U.S.Small BusinessCommercial Total(1,2)",$,"29,934",,"$24,615 $","1,360",$,"1,047",$,,910$,640$,,"1,177",185
,$,"486,584",$,"90,372","69,218",$,"42,473",$,"30,133",$,"16,266",$,"37,841","$ 200,281"
,,,,,$,,,,,,,,,
