,2020,2020,2019,2019,December31 2018,December31 2018,2017,2017,2016,2016
,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
(Dollars in millions),Amount,of Total,Amount,of Total,Amount,of Total,Amount,of Total,Amount,of Total
Allowance for loan and lease losses,$,,,,,,,,,
Residential mortgage,459,2.44%$,325,3.45%$,422,4.40%$,701,,"6.74%$1,012",8.82%
Home equity,399,2.12,221,2.35,506,5.27,"1,019",9.80,"1,738",15.14
Credit card,"8,420",44.79,"3,710",39.39,"3,597",37.47,"3,368",32.41,"2,934",25.56
Non-U.S.credit card,1,1,,1,1,1,1,1,243,2.12
Direct/Indirect consumer,752,4.00,234,2.49,248,2.58,264,2.54,244,2.13
Other consumer,41,0.22,52,0.55,29,0.30,31,0.30,51,0.44
Total consumer,"10,071",53.57,"4,542",48.23,"4,802",50.02,"5,383",51.79,"6,222",54.21
U.S. commercial (2),"5,043",26.82,"3,015",32.02,"3,010",31.35,"3,113",29.95,"3,326",28.97
Non-U.S.commercial,"1,241",6.60,658,6.99,677,7.05,803,7.73,874,7.61
Commercial real estate,"2,285",12.15,"1,042",11.07,958,9.98,935,9.00,920,8.01
Commercial lease financing,162,0.86,159,1.69,154,1.60,159,1.53,138,1.20
Total commercial Total allowance for loan and lease losses,"8,731 18,802",46.43 100.00%,"4,874 9,416",51.77 100.00 %,"4,799 9,601",49.98 100.00 %,"5,010 10,393",48.21 100.00%,"5,258 11,480",45.79
Less: Allowance included in assets of,,,,,,,,,,100.00%
business held for sale (3),,,,,,,,,(243),
Allowance for loanand lease losses,"18,802",,"9,416",,"9,601",,"10,393",,"11,237",
Reserve for unfunded lending commitments,"1,878",,813,,797,,777,,762,
Allowance for credit losses,"$20,680",,"$10,229",,"$10,398",,"$11,170",,"$11,999",
