Fair Value,,Gross Unrealized Losses,,Fair Value,,Gross Unrealized Losses
$(Dollars in millions),,,,$(Dollars in millions),,
Continuously unrealized loss-positioned AFS debt securities,,Mortgage-backed securities:,Agency,"$2,841",,$(39)
,,,Agency-collateralized mortgage obligations,187,$(2),364
,,,Commercial,566,$(4),9
,,,Non-agency residential,342,$(9),56
,,,Total mortgage-backed securities,"3,936",$(54),431
,,,U.S. Treasury and agency securities,"8,282",$(9),498
,,,Non-U.S. securities,"1,861",$(6),135
,,,"Other taxable securities, substantially all asset-backed securities",576,$(2),396
,,,Total taxable securities,"14,655",$(71),"1,460"
,,,Tax-exempt securities,"4,108",$(29),617
,,,Total AFS debt securities in a continuous unrealized loss position,"$18,763",$(100),"$2,077"
Continuously unrealized loss-positioned AFS debt securities,,Mortgage-backed securities:,Agency,"$17,641",,$(41)$
,,,Agency-collateralized mortgage obligations,255,$(1),925
,,,Commercial,"2,180",$(22),442
,,,Non-agency residential,122,$(6),22
,,,Total mortgage-backed securities,"20,198",$(70),"18,627"
,,,U.S. Treasury and agency securities,"12,836",$(71),"18,866"
,,,Non-U.S. securities,851,-,837
,,,"Other taxable securities, substantially all asset-backed securities",938,-,222
,,,Total taxable securities,"34,823",$(141),"38,552"
,,,Tax-exempt securities,"4,286",$(5),190
,,,Total AFS debt securities in a continuous unrealized loss position,"$39,109",$(146),"$38,742"
