THEME Governing Purpose,"METRIC Setting Purpose: The company's stated purpose, as the",RESPONSE Our Responsible Growth strategy referenced in this 2O2O Annual
,"expression of the means by which a business proposes solutions to economic, environmental,and social ises. Corporate purpose should create value forall stakeholders, including shareholders. Purpose-led management: How the company's stated purpose is embedded in company strategies,policies,and goals.","Report and our 2O21 Proxy Statement articulates how our purpose and environmental, social and governance leadership creates stakeholder value."
Governing Body,"Governing Body Composition: Composition of the highest governance bodyand itscommittees by: competencies relating to economic,environmental,and social topics; executive or non-executive; independence; tenure on the governance body; number of each individual's other significant positions and commitments,and the nature of the commitments; gender; membership of under-represented social groups; stakeholder representation.","Refer to the section entitled “Proposal 1: Electing directors"" in our 2021 Proxy Statement available on the Bank of America Investor Relations website at www.bankofamerica.com/investor."
Governing Body,"Progress against strategic milestones: Disclosure of the material strategic economic, environmental,and social milestones expected to be achieved in the following year, such milestones achieved from the previous year,and how those milestones are expected to or have contributed to long-term value.",Refer to our 2O19 ESG Performance Data Summary available at www.bankofamerica.com/ESGData.
Governing Body,"Remuneration: 1. How performance criteria in the remuneration policies relate to the highest governance body's and senior executives' objectives for economic,environmental and social topics,as connected to the company's stated purpose,strategy,and long-term value. 2.Remuneration policies for the highest governance body and senior executives for the following types of remuneration: Fixed pay and variable pay,including performance-based pay,","Refer to the section entitled “Compensation discussion and analysis"" in our 2O21 Proxy Statement available on the Bank of America Investor Relations website at www.bankofamerica.com/investor."
Governing Body,"equity-based pay,bonuses,and deferred or vested shares, Sign-on bonuses or recruitment incentive payments, termination payments, clawback and retirement benefits. Anti-corruption: 1.Total percentage of governance body members,employees and business partners who have received training on the organization's anti-corruption policies and procedures, broken down by region. 2. (a) Total number and nature of incidents of corruption","1.100% of Bank of America employees are required to take training on anti-bribery and anti-corruption policies as part of Bank of America's Code of Conduct training. 2.For disclosure of significant litigation and regulatory matters, see Note 12—Commitments and Contingencies on page 161 of the 2020 Financial Review section. 3. Refer to our Code of Conduct on the Bank of America Investor"
,"(b)Total number and nature of incidents of corruption confirmed during the current year,related to this year. 3.Discussion of initiatives and stakeholder engagement to improve the broader operating environment and culture, in order to combat corruption. Protected ethics advice and reporting mechanisms: A description of internal and external mechanisms for:",Refer to page 13 in our Code of Conduct on the Bank of America
,1.Seekingadvice about ethical and lawful behaviour and organizational integrity 2. Reporting concerns about unethical or unlawful behaviour and organizational integrity,Investor Relations website available at www.bankofamerica.com/ investor.
,"Monetary losses from unethical behaviour: Total amount of monetary losses as a result of legal proceedings associated with: fraud,insider trading,anti-trust,anti-competitive behaviour,marketmanipulation,malpractice,orviolationsof other related industry laws or regulations.","For disclosure of significant litigation and regulatory matters,see Note 12-Commitments and Contingencies on page 161 of the 2020 Financial Review section."
THEME,METRIC,RESPONSE
Ethical Behavior (continued),"Alignment of strategy and policies to lobbying: The significant issues that are the focus of the company's participation in public policy development and lobbying; the company's strategy relevant to these areas of focus;and any differences between its lobbying positions,purpose,and any stated policies,goals,or other public positions.",Refer to our Political Activities disclosure available on the Bank of America Investor Relations website at www.bankofamerica.com/ investor.
Risk and Opportunity Oversight,"Integrating risk and opportunity into business process: Company risk factorand opportunity disclosures that clearly identify the principal material risksand opportunities facing thecompany specifically (as opposed to generic sector risks), thecompany appetite in respect of these risks, how these risks and opportunities have moved over time and the response to those changes.These opportunitiesand risks should integrate material economic,environmental,and social issues,including climate change and data stewardship.",Refer to our Environmental and Social Risk Policy Framework available at www.bankofamerica.com/ESRPF.
Stakeholder Engagement,"Material issues impacting stakeholders: A list of the topics thatare material to key stakeholdersand the company, how the topics were identified,and how the stakeholders were engaged.",Refer to our ESG Materiality disclosure available at www.bankofamerica.com/ESGMateriality.
