Year End,2020,Average,High(1),Low(2),2019,Average,High (1),Low (1)
Foreign exchange,$8,,,,$4,$6,$13,$2
Interest rate,30,19,39,7,19,39,7,24
Credit,79,58,91,25,58,91,25,26
Equity,20,24,162,12,24,162,12,29
Commodities,4,6,12,3,6,12,3,4
Portfolio diversification,(72),(61),-,-,(47),(49),-,-
Total covered positions portfolio,69,53,171,27,53,171,27,41
Impact from less liquid exposures,52,27,-,-,27,-,-,-
Total covered positions and less liquid trading positions portfolio,121,80,169,30,80,169,30,41
Fair value option loans,52,52,84,7,52,84,7,8
Fair value option hedges,11,13,17,9,13,17,9,10
Fair value option portfolio diversification,(17),(24),-,-,(9),(10),-,-
Total fair value option portfolio,46,41,86,9,41,86,9,9
Portfolio diversification,(4),(15),-,-,(5),(7),-,-
Total market-based portfolio,$163,$106,171,32,$106,171,32,$45
