Residential Mortgage Agency,Residential Mortgage Prime,Residential Mortgage Non-agency Subprime,Residential Mortgage Alt-A,Residential Mortgage Commercial Mortgage
Maximum loss exposure (1),13,477,250,"1,031,46,1,169"
On-balance sheet assets,,,,
Senior securities:,,,,
Trading account assets,152,2,8,"12,60"
Debt securities carried at fair value,7,588,103,"676,33,925"
Held-to-maturity securities,5,737,6,"26,1,281,98"
All other assets,6,2,26,"46,50"
Total retained positions,13,477,111,"710,46,1,035"
Principal balance outstanding (2),133,497,6,"081,6,691,16,554"
Maximum loss exposure (1),1,328,66,"53,44"
On-balance sheet assets,,,,
Trading account assets,1,328,350,"260,149"
Loans and leases,net,9,917,
All other assets,151,,,
Total assets,1,328,350,"260,149"
Total liabilities,4,284,111,"207,105"
