,Percent of,,Percent of Loans and Leases,,Percent of,Percent of Loansand Leases,,Percent of,Percent of Loans and Leases
,Amount,Total,Outstanding(1),Amount,Total,Outstanding([1),Amount,Total,Outstanding([1)
(Dollars in millions),,"December 31,2020",,,"January1,2020",,,"December31,2019",
Allowance for loan and lease losses,,,,,,,,,
Residential mortgage,$ 459,2.44 %,0.21%$,212,1.72 %,0.09%$,325,3.45%,0.14 %
Home equity,399,2.12,1.16,228,1.84,0.57,221,2.35,0.55
Credit card,"8,420",44.79,10.70,"6,809",55.10,6.98,"3,710",39.39,3.80
Direct/Indirect consumer,752,4.00,0.82,566,4.58,0.62,234,2.49,0.26
Other consumer,41,0.22,n/m,55,0.45,n/m,52,0.55,n/m
Total consumer,"10,071",53.57,2.35,"7,870",63.69,1.69,"4,542",48.23,0.98
U.S. commercial (2),"5,043",26.82,1.55,"2,723",22.03,0.84,"3,015",32.02,0.94
Non-U.S.commercial,"1,241",6.60,1.37,668,5.41,0.64,658,6.99,0.63
Commercial real estate,"2,285",12.15,3.79,"1,036",8.38,1.65,"1,042",11.07,1.66
Commercial lease financing,162,0.86,0.95,61,0.49,0.31,159,1.69,0.80
Total commercial,"8,731",46.43,1.77,"4,488",36.31,0.88,"4,874",51.77,0.96
Allowance for loan and lease losses,"18,802",100.00 %,2.04,"12,358",100.00 %,1.27,"9,416",100.00 %,0.97
Reserve for unfunded lending commitments,"1,878",,,"1,123",,,813,,
Allowance for credit losses,"$ 20,680",,,"13,481",,,"$ 10,229",,
