(Dollars in millions),Qualified Pension Plan,Qualified Pension Plan,Qualified Pension Plan,Non-U.S. Pension Plans,Non-U.S. Pension Plans,Non-U.S. Pension Plans
(Dollars in millions),2020,2019,2018,2020,2019,2018
Components of net periodic benefit cost (income),,$,,20,17,$ 19
Service cost,500,593,563,49,65,65
Interest cost,,,,,,(126)
Expected return on plan assets,"(1,154)","(1,088)","(1,136)",(66),(99),
Amortization of net actuarial loss,173,135,147,9,6,10
Other,,,,8,4,12
Net periodic benefit cost (income) Weighted-average assumptions used to determine net cost for years ended December 31,,(481)$(360),$ (426),20 $,（7),$ (20)
,3.32 %,4.32 %,3.68%,1.81 %,,
Discount rate Expected return on plan assets,6.00,6.00,,,2.60%,2.39%
Rate of compensation increase,,,6.00,2.57,4.13,4.37
,n/a,n/a,n/a,4.10,4.49,4.31
,Nonqualified and,Nonqualified and,Nonqualified and,Nonqualified and,,
,Other Pension Plans,Other Pension Plans,Other Pension Plans,Other Pension Plans,Postretirement Health and Life Plans,Postretirement Health and Life Plans
(Dollars in millions),2020,2019,2018,2020,2019,2018
Components of net periodic benefit cost (income),1 $,,,,,$
Service cost,,1,1,5,5,6
Interest cost,90,113,105,32,38,36
Expected return on plan assets,(71),(95),(84),(4),(5),(6)
Amortization of net actuarial loss (gain),50,34,43,29,(24),(27)
Other,一,,,(2),(2),(3)
Net periodic benefit cost (income),70$,53,65,60 $,12,6
Weighted-average assumptions used to determine net cost for years ended December 31,,,,,,$
Discount rate,3.20%,4.26%,3.58%,3.27%,4.25 %,3.58%
Expected return on plan assets,2.77,3.73,3.19,2.00,2.00,2.00
Rate of compensation increase,4.00,4.00,4.00,n/a,n/a,n/a
