,,,,Home Equity Loans and Reverse Revolving,Home Equity Loans and Reverse Revolving,Home Equity Loans and Reverse Revolving,Revolving Loans Converted to Term Loans
,Total,Total,Mortgages (1),Mortgages (1),"Loans December31,2020","Loans December31,2020",Revolving Loans Converted to Term Loans
(Dollars in millions) Total Home Equity,,,,,,,
Refreshed LTV,,,,,,,
Less than or equal to 90 percent,,"33,447",$,,,"22,639",
,$,351,,"1,919",$,94,"8,889"
Greater than 9O percent but less than or equal to 1OO percent,,513,,126 172,,118,131 223
Greater than 100 percent,$,"34,311",,"2,217$",,"22,851$","9,243"
Total Home Equity,,,$,,,,
Total Home Equity,,,,,,,
Refreshed FICO score,,,,,,,
Less than 620,$,"1,082",$,250,$,244 $,588
Greater than or equal to 62O and less than 680,,"1,798",,263,,568,967
Greater than or equal to 68O and less than 740,,"5,762",,556,,2.905,"2,301"
Greater than or equal to 740,,"25,669",,"1,148",,"19,134","5,387"
Total Home Equity,$,"34,311$",,"2,217$",,"22,851$","9,243"
