Dollars in millions,2021,2022,2023,2024,2025,Thereafter,Total
Bank of America Corporation,Senior notes,"$ 8,888","$ 15,380","$ 23,872","$ 21,407","$ 15,723","$ 105,903,$ 191,173"
Bank of America Corporation,Senior structured notes,469,"2,034",597,190,549,"13,194,17,033"
Bank of America Corporation,Subordinated notes,371,393,—,"3,351","5,537","14,484,24,136"
Bank of America Corporation,Junior subordinated notes,—,—,—,—,—,"739,739"
Bank of America Corporation,Total Bank of America Corporation,"9,728","17,807","24,469","24,948","21,809","134,320,233,081"
"Bank of America, N.A.",Senior notes,"1,340",975,511,—,—,"8,2,834"
"Bank of America, N.A.",Subordinated notes,—,—,—,—,—,"1,883,1,883"
"Bank of America, N.A.",Advances from Federal Home Loan Banks,502,3,1,—,18,"75,599"
"Bank of America, N.A.",Securitizations and other Bank VIEs (1),"4,056","1,241",977,—,—,"22,6,296"
"Bank of America, N.A.",Other,112,16,189,—,279,"87,683"
"Bank of America, N.A.",Total Bank of America, N.A.,"6,010","2,235","1,678",—,"297,2,075,12,295"
Other debt,Structured Liabilities,"4,613","2,414","2,221",655,859,"6,030,16,792"
Other debt,Nonbank VIEs (1),1,—,—,—,—,"—,757"
Other debt,Other,—,—,—,—,—,"9,9"
Other debt,Total other debt,"4,614","2,414","2,221",655,859,"6,795,17,558"
Total long-term debt,"$ 20,352","$ 22,456","$ 28,368","$ 25,603","$ 22,965","$ 143,190","$ 262,934"
