,"Standardized Approach (1,2)","Standardized Approach (1,2)","Advanced Approaches (1) December31,2020","Advanced Approaches (1) December31,2020",Regulatory Minimum (3)
"(Dollars in millions,except as noted)",,,,,
Risk-based capital metrics:,"176,660","176,660","176,660","176,660",
Common equity tier 1 capital,,"200,096",$,"176,660 200,096",
Tier 1 capital,,,,"227,685",
Total capital (4),,"237,936",,,
Risk-weighted assets (in billions),,"1,480 11.9 %",,"1,371 12.9 %",9.5%
Common equity tier1 capital ratio,,13.5,,14.6,11.0
Tier 1 capital ratio,,16.1,,16.6,13.0
Total capital ratio,,,,,
Leverage-based metrics:,$,,,,
Adjustedquarterlyaverageassets (inbillios)(5) Tier1 leverage ratio,,"2,719 7.4 %",$,"2,719 7.4 %",4.0
Supplementary leverage exposure (in billions)(),,,$,"2,786",
Supplementary leverage ratio,,,,7.2 %,5.0
Risk-based capital metrics:,,,,,
Common equity tier1 capital,,"166,760",$,"166,760",
Tier 1capital Total capital (4),,"188,492 221,230",,"188,492",
,,,,"213,098",
Risk-weighted assets (in billions),,"1,493",,"1,447",9.5%
Common equity tier1 capital ratio,,11.2 %,,11.5 %,11.0
Tier1 capital ratio,,12.6 14.8,,13.0 14.7,13.0
Total capital ratio,,,,,
Leverage-based metrics:,,,,,
Adjusted quarterly average assets (in billions)(5),$,"2,374",$,"2,374",4.0
Tier1 leverage ratio,,7.9%,,7.9%,
Supplementary leverage exposure (in billions),,,$,"2,946",
Supplementary leverage ratio,,,,6.4 %,5.0
