Bank of America Corporation,Standardized Approach,Advanced Approaches,Regulatory Minimum,"Bank of America, N.A.",Standardized Approach,Advanced Approaches,Regulatory Minimum
Risk-based capital metrics:,,,,,,,
Common equity tier 1 capital,"$ 176,660","$ 176,660","$ 164,593","$ 164,593","$ 237,936","$ 227,685","$ 181,370"
Tier 1 capital,"200,096","200,096","164,593","164,593","221,230","213,098","166,567"
Total capital (5),"$ 237,936","$ 227,685","181,370 1,221","181,370 1,221",,,
Risk-weighted assets (in billions),"1,480","1,371",,,"1,014",7.0%,
Common equity tier 1 capital ratio,11.9 %,12.9 %,9.5 %,9.5 %,16.2 %,8.5,
Tier 1 capital ratio,13.5%,,11.0%,11.0%,16.2%,10.5%,
Total capital ratio,16.1%,16.6%,13.0%,14.9%,16.9%,,
Leverage-based metrics:,,,,,,,
Adjusted quarterly average assets (in billions) (6),"$ 2,719",,4.0,"$ 2,143",,,
Tier 1 leverage ratio,7.4 %,,7.7 %,7.7 %,,,
Supplementary leverage exposure (in billions) (7),,,,,,,
Supplementary leverage ratio,5.0%,,6.5%,6.0%,,,
Risk-based capital metrics:,"December 31, 2019","December 31, 2019","December 31, 2019","December 31, 2019","December 31, 2019","December 31, 2019","December 31, 2019"
Common equity tier 1 capital,"$ 166,760","$ 166,760","$ 166,760","$ 166,760",,,
Tier 1 capital,"188,492","$ 166,760 188,492","$ 154,626 154,626","$ 154,626 154,626",,,
Total capital (5),"221,230","213,098",,"166,567","166,567","154,626",
Risk-weighted assets (in billions),"1,493","1,447",,"1,241","1,241","158,665 991",
Common equity tier 1 capital ratio,11.2 %,11.5%,,12.5%,12.5%,15.6%,7.0%
Tier 1 capital ratio Total capital ratio,14.8,14.7,,9.5%,9.5%,15.6,8.5
Leverage-based metrics:,,,,,,,
Adjusted quarterly average assets (in billions) (6),"$ 2,374",,4.0,"$ 1,780",,,
Tier 1 leverage ratio,7.9%,,8.7%,8.7%,,,
Supplementary leverage exposure (in billions),,,,,,,
Supplementary leverage ratio,,6.4%,,5.0,,,7.1 %
