For the year,2020,2019,2018
"Revenue, net of interest expense","$ 85,528","$ 91,244","$ 91,020"
Net income,"17,894","27,430","28,147"
Earnings per common share,1.88,2.77,2.64
Diluted earnings per common share,1.87,2.75,2.61
Dividends paid per common share,0.72,0.66,0.54
Return on average assets,0.67%,1.14%,1.21%
Return on average common equity,6.76%,10.62%,11.04%
Return on average tangible common shareholders' equity^1,9.48,14.86,15.55
Efficiency ratio,64.55,60.17,58.40
Average diluted common shares issued and outstanding,"8,797","9,443","10,237"
At year-end,2020,2019,2018
Total loans and leases,"$ 927,861","$ 983,426","$ 946,895"
Total assets,"2,819,627","2,434,079","2,354,507"
Total deposits,"1,795,480","1,434,803","1,381,476"
Total shareholders' equity,"272,924","264,810","265,325"
Book value per common share,28.72,27.32,25.13
Tangible book value per common share^1,20.60,19.41,17.91
Market capitalization,"262,206","311,209","238,251"
Market price per common share,30.31,35.22,24.64
Common shares issued and outstanding,"8,651","8,836","9,669"
Tangible common equity ratio^1,6.5,7.3,7.6
