,Total Corporation,Total Corporation,Total Corporation,Consumer Banking,Consumer Banking,Consumer Banking,Investment Management,Investment Management,Investment Management
(Dollasin millions),2020,2019,2018,2020,2019,2018,2020,2019,2018
Fees and commissions:,Fees and commissions:,Fees and commissions:,Fees and commissions:,Fees and commissions:,Fees and commissions:,Fees and commissions:,Fees and commissions:,,
Card income,"3,954 $","3,834","3,866",3.027,"3,174 $","3,196 $",36 $,59 $,81
Interchange fees Other card income,1.702,"1,963","1,958","$ 1,646","1,910","1,907",42,42,46
Total card income,"5,656","5,797","5,824","4,673","5,084","5,103",78,101,127
Service charges,,,,,,,,,
Deposit-related fees,,,,,,,,,
,"5,991","6,588","6,667","3,417","4,218","4,300",67,68,73
Lending-related fees,"1,150 7,141","1,086 7,674","1,100 7,767","3,417","4,218","4,300",二 67,68,1 73
Total service charges,,,,,,,,,
Investment and brokerage services,,,,,,,,,
Asset management fees,"10,708 3,866","10,241","10,189",146,144,147,"10,578","10,130","10,042 1,917"
Brokerage fees,"14,574","3,661 13,902","3,971",127,149,172,"1,692","1,740","11,959"
Total investment and brokerage services,,,"14,160",273,293,319,"12,270","11,870",
Investment banking fees,,,,,,,,,
Underwriting income,"4,698","2,998","2,722",,,,391,401,335
Syndication fees,861,"1,184","1,347",,,,1,1,1
Financial advisory services,"1,621","1,460","1,258",,,,一,1,2
Total investment banking fees,"7,180","5,642","5,327",,,,391,401,337
Total fees and commissions,"34,551","33,015","33,078","8,363","9,595","9,722","12,806","12,440","12,496"
Marketmakingand similar activities,"8,355","9,034","9,008",2,6,8,63,113,112
Other income (loss),(738),304,772,199,828,863,247,481,580
Totalnoninterest income,"$42,168","$42,353","$42,858 $","8,564","$10,429","$10,593","$ 13,116","$13,034","$13,188"
,Global Banking,Global Banking,Global Banking,Global Banking,Global Banking,Global Banking,Global Banking,Global Banking,
,2020,2019,2018,2020,Global Markets 2019,2018,2020,All Other (1) 2019,2018
Fees and commissions: Card income,,,,,,,,,
Interchange fees,499,519$ $,503$,391,81$,86$,1$,1$,1
Other card income,14,13,8,,(1),(2),,(1),(1)
Total card income,513,532,511,391,80,84,1,,(1)
Service charges,,,,,,,,,
Deposit-related fees,"2,298","2,121","2,111",177,156,161,32,25,22
Lending-related fees,940,894,916,210,,184,一,,
Total service charges,"3,238","3,015","3,027",,192,,,,
Investment and brokerage services,,,,387,348,345,32,25,22
Asset management fees,1,,,,,,(16),,
Brokerage fees,74,34,94,一,,,,(33),8
Total investment and brokerage services,74,34,94,"1,973 1,973","1,738 1,738","1,780 1,780",二 (16),(33),8
Investment banking fees,,,,,,,,,
Underwriting income,"2,070","1,227","1,090","2,449","1,555","1,495",(212),(185),(198)
Syndication fees,482,574,648,379,610,698,1,,1
Financial advisory services,"1,458","1,336","1,153",163,123,103,一,1,一
Total investment banking fees,"4,010","3,137","2,891","2,991","2,288","2,296",(212),(184),(197)
Total fees and commissions,"7,835","6,718","6,523","5,742","4,454","4,505",(195),(192),(168)
Market makingand similar activities,103,235,260,,,,,,
