December 31,2020,2019,2018,2017,2016
(Dollars in millions),Consumer,Residential mortgage,Home equity,Direct/Indirect consumer,"Other consumer,Total consumer (2),U.S. commercial,Non-U.S. commercial,Commercial real estate,Commercial lease financing,Total commercial (3),Total nonperforming loans and leases,Foreclosed properties,Total nonperforming loans, leases and foreclosed properties"
,$,$,$,$,"$,$,$,$,$,$,$,$,$,$"
,"2,005","1,470","1,893","2,476","3,056,2,725,1,243,1,094,794,814,1,249,4,952,164,5,116"
,649,536,"1,893","2,644","2,918,2,053,418,43,80,299,1,449,3,552,285,3,837"
,71,47,56,46,"28,3,842,75,50,54,55,1,048,4,944,300,5,244"
,,,,,",,1,243,,,,,1,304,,6,470"
,,,,,",,1,256,418,43,80,279,1,643,288,7,707"
,,,,,",,1,094,75,50,54,60,1,449,377,8,084"
,,,,,",,794,,,,,1,024,,"
,,,,,",,814,,,,,1,304,,"
,,,,,",,1,256,404,280,156,72,1,703,,"
,,,,,",,1,094,87,32,18,36,,,"
,,,,,",,794,,,,,,,"
,,,,,",,814,,,,,,,"
,,,,,",,1,256,,,,,,,"
,,,,,",,1,243,404,280,156,72,1,048,4,944,300,5,244"
,,,,,",,1,094,87,32,18,36,1,449,285,3,552"
,,,,,",,794,,,,,1,024,300,4,944"
,,,,,",,814,,,,,1,304,288,6,470"
,,,,,",,1,256,418,43,80,279,1,643,377,7,707"
,,,,,",,1,094,75,50,54,60,1,449,,8,084"
