,"December 31,2020 Fair Value","December 31,2020 Fair Value","December 31,2020 Fair Value","December 31,2019","December 31,2019","December 31,2019"
(Dollars in millions),Fair Value Carrying Amount,Contractual Principal Outstanding,Carrying Amount Less Unpaid Principal,Fair Value Carrying Amount,Contractual Principal Outstanding,Fair Value Carrying Amount Less Unpaid Principal
Federal funds sold and securities borrowed or purchased under agreements to resell,"108,856","108,811",45,"50,364","50,318",46
Loans reported as trading account assets (1),"7,967","17,372","(9,405)","6,989","14,703","(7,714)"
Trading inventory-other,"22,790",n/a,n/a,"19,574",n/a,n/a
Consumer and commercial loans,"6,681","6,778",(97),"8,335","8,372",(37)
Loans held-for-sale (1),"1,585","2,521",(936),"3,709","4,879","(1,170)"
Other assets,200,n/a,n/a,4,n/a,n/a
Long-term deposits,481,448,33,508,496,12
Federal funds purchased and securities loaned or,,,,,,
sold under agreements to repurchase,"135,391","135,390",1,"16,008","16,029",(21)
Short-term borrowings,"5,874","5,178",696,"3,941","3,930",11
Unfunded loan commitments,99,n/a,n/a,90,n/a,n/a
Long-term debt,"32,200","33,470","(1,270)","34,975","35,730",(755)
