Maximum loss exposure,Consolidated,"December 31, 2020",Unconsolidated,"December 31, 2020",Consolidated,"December 31, 2019",Unconsolidated,"December 31, 2019"
$,,"4,106 $",,"23,870",,"4,055 $",,"21,069"
On-balance sheet assets,Trading account assets,$,"2,080",,623,$,"2,213 $",
Debt securities carried at fair value,,,9,,9,,10,
Loans and leases,,2.108,,184,,"2,292",,"1,810"
Allowance for loan and lease losses,,(3),,(3),,(6),,(2)
All other assets,,54,,"22,553",,"22,607",,81
Total,$,"4,239",,"23,366",,"27,605",,"4,102 $"
On-balance sheet liabilities,Short-term borrowings,$,,22$,,$,,$
Long-term debt All other liabilities (t),,111,,,111,,46,
Total,,,"5,658 5,658",,"5,658",,2,
Total assets of VIEs,$ $,"133$ 4,239",,"77,984",,"82,223",,"5,791 $ $"
