"Standardized Approach (1, 2)",Advanced Approaches (1),Regulatory Minimum (3)
"December 31, 2020","December 31, 2020","December 31, 2020"
Common equity tier 1 capital,$,"$,$"
Tier 1 capital,"200,096","200,096,200,096"
Total capital (4),"237,936","227,685,227,685"
Risk-weighted assets (in billions),"1,480","1,371,1,371"
Common equity tier 1 capital ratio,11.9 %,"12.9 %,9.5 %"
Tier 1 capital ratio,13.5,"14.6,11.0"
Total capital ratio,16.1,"16.6,13.0"
Leverage-based metrics:,,
Adjusted quarterly average assets (in billions) (5),$,"$,$"
Tier 1 leverage ratio,7.4 %,"7.4 %,4.0"
Supplementary leverage exposure (in billions) (6),$,"$,$"
Supplementary leverage ratio,"2,786","7.2 %,5.0"
"December 31, 2019","December 31, 2019","December 31, 2019"
Common equity tier 1 capital,$,"$,$"
Tier 1 capital,"188,492","188,492,188,492"
Total capital (4),"221,230","213,098,213,098"
Risk-weighted assets (in billions),"1,493","1,447,1,447"
Common equity tier 1 capital ratio,11.2 %,"11.5 %,9.5 %"
Tier 1 capital ratio,12.6,"13.0,11.0"
Total capital ratio,14.8,"14.7,13.0"
Leverage-based metrics:,,
Adjusted quarterly average assets (in billions) (5),$,"$,$"
Tier 1 leverage ratio,7.9 %,"7.9 %,4.0"
Supplementary leverage exposure (in billions),$,"$,$"
Supplementary leverage ratio,"2,946","6.4 %,5.0"
