Country,Country,Country,Country,Country,Country,Country,Net Country Exposure at,Increase (Decrease) from December 31
,Funded Loans and Loan,Unfunded Loan,Net Counterparty,Securities/ Other,Exposure at December 31,Hedges and Credit Default,Net Country Exposure at,Increase (Decrease) from December 31
(Dollars in millions),Equivalents,Commitments,Exposure,Investments,2020,Protection,December 31 2020,2019
United Kingdom,"$ 31,817","$ 18,201","$ 6,601","$ 4,086","$ 60,705 46,588","$ (1,233)","$ 59,472 44,903","$ 3,628 14,075"
Germany,"29,169","10,772","2,155 1,624","4,492","21,590","(1,685) (456)","21,134","1,012"
Canada,"8,657","8,681 8,353",988,"2,628 4,329","21,889","(1,098)","20,791","4,536"
France,"8,219 12,679","1,086","1,115",,"18,205",(709),"17,496","6,964"
Japan China,"10,098",67,"1,529","3,325 1,952","13,646",(226),"13,420",
Australia,"6,559","4,242",372,"2,235","13,408",(321),"13,087","(2,167) 1,985"
Brazil,"5,854",696,708,"3,288","10,546",(253),"10,293","(1,479)"
Netherlands,"4,654","4,109",486,997,"10,246",(562),"9,684",(643)
Singapore,"4,115",278,359,"4,603","9,355",(73),"9,282","1,456"
South Korea,"5,161",856,488,"2,214","8,719",(168),"8,551",(154)
India,"5,428",221,353,"1,989","7,991",(180),"7,811","(4,206)"
Switzerland,"3,811","2,817",412,130,"7,170",(275),"6,895",(490)
Hong Kong,"4,434",452,584,"1,128","6,598",(61),"6,537",(519)
Mexico,"3,712","1,379",205,"1,112","6,408",(121),"6,287","(1,524)"
Italy,"2,456","1,784",553,"1,568","6,361",(669),"5,692",315
Belgium,"2,471","1,334",505,797,"5,107",(140),"4,967","(1,540)"
Spain,"2,835","1,156",262,914,"5,167",(351),"4,816",94
Ireland,"2,785","1,050",100,253,"4,188",(23),"4,165",798
United Arab Emirates,"2,218",136,266,77,"2,697",(10),"2,687",(900)
Total top 20 non-U.S. countries exposure,"$ 157,132","$ 67,670","$ 19,665","$ 42,117","$ 286,584","$ (8,614)$","277,970","$ 21,241"
