(Dollars in millions),Qualified Pension Plan,Non-U.S. Pension Plans,Nonqualified and Other Pension Plans,Postretirement Health and Life Plans,Total
2020,"$3,912",$628,$987,$66,"$5,593"
2019,"$3,865",$559,"$1,008",$48,"$5,480"
Prior service cost (credits),—,18,—,(4),14
Amounts recognized in accumulated OCI,"$3,912",$646,$987,$62,"$5,607"
2020,$219,$79,$29,$47,$374
2019,$(385),$110,$130,$99,$(46)
Amortization of actuarial gain (loss) and prior service cost,$(173),$(12),$(50),$(27),$(262)
Current year prior service cost (credit),—,3,—,—,3
Amounts recognized in OCI,$46,$70,$(21),$20,$115
2020,$(520),$105,$96,$125,$(194)
2019,—,$(7),—,$26,—
