(Dollars in millions),2020,2019,% Change
Net interest income,"$ 4,646","$ 3,915",19 %
Noninterest income:,Investment and brokerage services,"1,973","1,738,14"
Noninterest income:,Investment banking fees,"2,991","2,288,31"
Noninterest income:,Market making and similar activities,"8,471","7,065,20"
Noninterest income:,All other income,685,"608,13"
Noninterest income:,Total noninterest income,"14,120","11,699,21"
Noninterest income:,"Total revenue, net of interest expense","18,766","15,614,20"
Provision for credit losses,251,(9),n/m
Noninterest expense,"11,422","10,728",6
Noninterest expense,Income before income taxes,"7,093","4,895,45"
Noninterest expense,Income tax expense,"1,844","1,395,32"
Noninterest expense,Net income,"$ 5,249","$ 3,500,50"
Noninterest expense,Effective tax rate,26.0 %,28.5 %
Noninterest expense,Return on average allocated capital,15,10
Noninterest expense,Efficiency ratio,60.86,68.71
Balance Sheet,Average,Trading-related assets:,"Trading account securities,$ 243,519,$ 246,336,(1)%"
Balance Sheet,Average,Trading-related assets:,"Reverse repurchases,104,697,116,883,(10)"
Balance Sheet,Average,Trading-related assets:,"Securities borrowed,87,125,83,216,5"
Balance Sheet,Average,Trading-related assets:,"Derivative assets,47,655,43,273,10"
Balance Sheet,Average,Total trading-related assets,"482,996,489,708,(1)"
Balance Sheet,Average,Total loans and leases,"73,062,71,334,2"
Balance Sheet,Average,Total earning assets,"482,171,476,225,1"
Balance Sheet,Average,Total assets,"685,047,679,300,1"
Balance Sheet,Average,Total deposits,"47,400,31,380,51"
Balance Sheet,Average,Allocated capital,"36,000,35,000,3"
Balance Sheet,Year end,Total trading-related assets,"$ 421,698,$ 452,499,(7)%"
Balance Sheet,Year end,Total loans and leases,"78,415,72,993,7"
Balance Sheet,Year end,Total earning assets,"447,350,471,701,(5)"
Balance Sheet,Year end,Total assets,"616,609,641,809,(4)"
Balance Sheet,Year end,Total deposits,"53,925,34,676,56"
