Foreign exchange,99 percent,95 percent,99 percent,95 percent
$,7,$,4,"$,6,$,3,"
Interest rate,19,9,24,"15,"
Credit,58,18,23,"15,"
Equity,24,13,22,"11,"
Commodities,6,3,6,"3,"
Portfolio diversification,(61),(26),(49),"(29),"
Total covered positions portfolio,53,21,32,"18,"
Impact from less liquid exposures,27,2,3,"2,"
Total covered positions and less liquid trading positions portfolio,80,23,35,"20,"
Fair value option loans,52,13,10,"5,"
Fair value option hedges,13,7,10,"6,"
Fair value option portfolio diversification,(24),(8),(10),"(5),"
Total fair value option portfolio,41,12,10,"6,"
Portfolio diversification,(15),(6),(7),"(5),"
Total market-based portfolio,$,106,$,"29,$,38,$,21"
