"December 31,2020",2019,2018,2017,2016
(Dollars in millions),,,,
Consumer,,,,"5,679"
Credit card,903,"1,042",,782
Residential mortgage (2),762,"1,088","1,884","4,793"
Non-U.S. credit card,-,-,,66
Direct/Indirect consumer,-,33,,34
Other consumer,-,-,,4
Total consumer,"1,698","2,163","2,916","4,170"
Commercial,,,,
U.S. commercial,228,106,197,106
Non-U.S. commercial,10,-,1,5
Commercial real estate,-,19,4,7
Commercial lease financing,25,20,29,19
U.S. small business commercial,115,97,84,71
Total commercial,384,250,314,208
Total accruing loans and leases past due 90 days or more,"2,082","2,413","3,230","5,887"
