Fair Value,Gross Unrealized Losses,Fair Value,Gross Unrealized Losses,Fair Value,Gross Unrealized Losses
$(Dollars in millions),,$(Dollars in millions),,$(Dollars in millions),
Continuously unrealized loss-positioned AFS debt securities,Mortgage-backed securities:,Agency,"$2,841",$(39),"$2,$(19),$2,843,$(39)"
,Agency-collateralized mortgage obligations,187,$(2),364,"$(11),551,$(13)"
,Commercial,566,$(4),9,"$(19),575,$(4)"
,Non-agency residential,342,$(9),56,"$(8),398,$(17)"
,Total mortgage-backed securities,"3,936",$(54),431,"$(19),4,367,$(73)"
,U.S. Treasury and agency securities,"8,282",$(9),498,"$(4),8,780,$(13)"
,Non-U.S. securities,"1,861",$(6),135,"$(1),1,996,$(7)"
,"Other taxable securities, substantially all asset-backed securities",576,$(2),396,"$(4),972,$(6)"
,Total taxable securities,"14,655",$(71),"1,460","$(28),16,115,$(99)"
,Tax-exempt securities,"4,108",$(29),617,"$(3),4,725,$(32)"
,Total AFS debt securities in a continuous unrealized loss position,"$18,763",$(100),"$2,077","$(31),$20,840,$(131)"
,Continuously unrealized loss-positioned AFS debt securities,Mortgage-backed securities:,Agency,"$17,641","$(41),$17,238,$(142),$34,879,$(183)"
,Agency-collateralized mortgage obligations,255,$(1),925,"$(23),1,180,$(24)"
,Commercial,"2,180",$(22),442,"$(3),2,622,$(25)"
,Non-agency residential,122,$(6),22,"$(3),144,$(9)"
,Total mortgage-backed securities,"20,198",$(70),"18,627","$(171),38,825,$(241)"
,U.S. Treasury and agency securities,"12,836",$(71),"18,866","$(124),31,702,$(195)"
,Non-U.S. securities,851,—,837,"$(2),1,688,$(2)"
,"Other taxable securities, substantially all asset-backed securities",938,—,222,"—,1,160,—"
,Total taxable securities,"34,823",$(141),"38,552","$(297),73,375,$(438)"
,Tax-exempt securities,"4,286",$(5),190,"$(1),4,476,$(6)"
,Total AFS debt securities in a continuous unrealized loss position,"$39,109",$(146),"$38,742","$(298),$77,851,$(444)"
