(Dollars in millions) 2020,(Dollars in millions) 2020,2019,2019
"Nonperforming loans and leases, January 1","$ 1,499",$,"1,102"
Additions,,"3,518","2,048"
Reductions:,,,
Paydowns,"(1,002)",,(648)
Sales,,(350),(215)
Retums to performing status (3),,(172),(120)
Charge-offs,,"(1,208)",(478)
Transfers to foreclosed properties,,（2）,（9)
Transfers to loans held-for-sale,,(56),(181)
Total net additions to nonperforming loans and leases,,728,397
"Total nonperforming loans and leases, December 31","2,227",,"1,499"
"Foreclosed properties, December 31",,41,56
"Nonperformingcommercial loans, leasesand foreclosed properties,December31",,"2,268","1,555"
Nonperforming commercial loansand leases asapercentage of outstanding commercial oans and leases 4,,0.45 %,0.29 %
"Nonperformingcommercialloans,leasesandforeclosedpropertiesasapercentageofoutstandingcommercialloans,leases and foreclosed properties 4)",0.46,0.30,
