Due to Change in Volume,Due to Change in Rate,Due to Change in Net Change
"Interest-bearing deposits with the Federal Reserve, non-U.S. central banks and other banks","Interest-bearing deposits with the Federal Reserve, non-U.S. central banks and other banks","Interest-bearing deposits with the Federal Reserve, non-U.S. central banks and other banks,Interest-bearing deposits with the Federal Reserve, non-U.S. central banks and other banks"
Time deposits placed and other short-term investments,Time deposits placed and other short-term investments,"Time deposits placed and other short-term investments,Time deposits placed and other short-term investments"
Federal funds sold and securities borrowed or purchased under agreements to resell,Federal funds sold and securities borrowed or purchased under agreements to resell,"Federal funds sold and securities borrowed or purchased under agreements to resell,Federal funds sold and securities borrowed or purchased under agreements to resell"
Trading account assets,Trading account assets,"Trading account assets,Trading account assets"
Debt securities,Debt securities,"Debt securities,Debt securities"
Loans and leases,Loans and leases,"Loans and leases,Loans and leases"
Residential mortgage,Residential mortgage,"Residential mortgage,Residential mortgage"
Home equity,Home equity,"Home equity,Home equity"
Credit card,Credit card,"Credit card,Credit card"
Direct/Indirect and other consumer,Direct/Indirect and other consumer,"Direct/Indirect and other consumer,Direct/Indirect and other consumer"
Total consumer,Total consumer,"Total consumer,Total consumer"
U.S. commercial,U.S. commercial,"U.S. commercial,U.S. commercial"
Non-U.S. commercial,Non-U.S. commercial,"Non-U.S. commercial,Non-U.S. commercial"
Commercial real estate,Commercial real estate,"Commercial real estate,Commercial real estate"
Commercial lease financing,Commercial lease financing,"Commercial lease financing,Commercial lease financing"
Total commercial,Total commercial,"Total commercial,Total commercial"
Total loans and leases,Total loans and leases,"Total loans and leases,Total loans and leases"
Other earning assets,Other earning assets,"Other earning assets,Other earning assets"
Net increase (decrease) in interest income,Net increase (decrease) in interest income,"Net increase (decrease) in interest income,Net increase (decrease) in interest income"
U.S. interest-bearing deposits,U.S. interest-bearing deposits,"U.S. interest-bearing deposits,U.S. interest-bearing deposits"
Savings,Savings,"Savings,Savings"
Demand and money market deposit accounts,Demand and money market deposit accounts,"Demand and money market deposit accounts,Demand and money market deposit accounts"
Consumer CDs and IRAs,Consumer CDs and IRAs,"Consumer CDs and IRAs,Consumer CDs and IRAs"
"Negotiable CDs, public funds and other deposits","Negotiable CDs, public funds and other deposits","Negotiable CDs, public funds and other deposits,Negotiable CDs, public funds and other deposits"
Total U.S. interest-bearing deposits,Total U.S. interest-bearing deposits,"Total U.S. interest-bearing deposits,Total U.S. interest-bearing deposits"
Non-U.S. interest-bearing deposits,Non-U.S. interest-bearing deposits,"Non-U.S. interest-bearing deposits,Non-U.S. interest-bearing deposits"
Banks located in non-U.S. countries,Banks located in non-U.S. countries,"Banks located in non-U.S. countries,Banks located in non-U.S. countries"
"Time, savings and other","Time, savings and other","Time, savings and other,Time, savings and other"
Total non-U.S. interest-bearing deposits,Total non-U.S. interest-bearing deposits,"Total non-U.S. interest-bearing deposits,Total non-U.S. interest-bearing deposits"
Total interest-bearing deposits,Total interest-bearing deposits,"Total interest-bearing deposits,Total interest-bearing deposits"
"Federal funds purchased, securities loaned or sold under agreements to repurchase, short-term borrowings and other interest-bearing liabilities","Federal funds purchased, securities loaned or sold under agreements to repurchase, short-term borrowings and other interest-bearing liabilities","Federal funds purchased, securities loaned or sold under agreements to repurchase, short-term borrowings and other interest-bearing liabilities,Federal funds purchased, securities loaned or sold under agreements to repurchase, short-term borrowings and other interest-bearing liabilities"
Trading account liabilities,Trading account liabilities,"Trading account liabilities,Trading account liabilities"
Long-term debt,Long-term debt,"Long-term debt,Long-term debt"
Net increase (decrease) in interest expense,Net increase (decrease) in interest expense,"Net increase (decrease) in interest expense,Net increase (decrease) in interest expense"
Net increase (decrease) in net interest income,Net increase (decrease) in net interest income,"Net increase (decrease) in net interest income,Net increase (decrease) in net interest income"
