,Quoted Prices in Active Markets for Identical Assets (Level 1),Significant Other Observable Inputs (Level2),Significant Unobservable Inputs (Level 3),Significant Unobservable Inputs (Level 3),"Balance as of January 31, 2020"
Cash equivalents (1): Time deposits,$ 0,$ 746,$,0,$ 746
Money market mutual funds,"1,293",0,,0,"1,293"
Marketable securities:,,,,,
Corporate notes and,,,,,
obligations..,0,"2,207",,0,"2,207"
U.S. treasury securities,0,183,,0,183
Mortgage backed,0,226,,0,226
obligations .,0,781,,,
Asset backed securities,0,158,,0,781
Municipal securities,,,,0,158
Foreign government,0,69,,0,69
obligations .,0,12,,0,
U.S.agency obligations,0,1,,,12
Time deposits,0,165,,0,1
Covered bonds Strategic investments:,,,,0,165
Publicly held equity,,,,,
securities,370,0,,0,370
Foreign currency derivative contracts (2),0,28,,0,28
Total assets,"$1,663","$4,576",$,0,"$6,239"
Liabilities:,,,,,
Foreign currency derivative,,,,,
contracts (3),0,24,,0,24
Total liabilities,$ 0,$24,$,0,$24
