Description,Quoted Prices in Active Markets for Identical Assets (Level 1),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3),"Balance as of January 31, 2019"
Cash equivalents (1):,Time deposits,$ 314,$ 0,$ 314
Cash equivalents (1):,Money market mutual funds,"1,234",0,"1,234"
Marketable securities:,Corporate notes and obligations,0,"1,019","1,019"
Marketable securities:,U.S. treasury securities,0,88,88
Marketable securities:,Mortgage backed obligations,0,78,78
Marketable securities:,Asset backed securities,0,244,244
Marketable securities:,Municipal securities,0,104,104
Marketable securities:,Foreign government obligations,0,57,57
Marketable securities:,U.S. agency obligations,0,4,4
Marketable securities:,Time deposits,0,4,4
Marketable securities:,Covered bonds,0,75,75
Strategic investments:,Publicly held equity securities,436,0,436
Foreign currency derivative contracts (2),0,42,0,42
Total assets,"$1,670","$2,029",$ 0,"$3,699"
Liabilities:,Foreign currency derivative contracts (3),0,17,"0,17"
Total liabilities,$ 0,$ 17,$ 0,$ 17
