(in millions),Shares Available for Grant,Options Outstanding,Options Outstanding,Options Outstanding
(in millions),Shares Available for Grant,Outstanding Stock Options (in millions),Weighted- Average Exercise Price,Aggregate Intrinsic Value (in millions)
"Balance as of January 31, 2019 Increase in shares authorized:",64,26,$ 74.15,
2013 Equity Incentive Plan,36,0,0.00,
2014Inducement Plan,2,0,0.00,
Assumed equity plans .,13,0,0.00,
Options granted under all plans,(10),10,132.72,
Restricted stock activity,(28),0,0.00,
Performance-based restricted stock,,,,
units,(2),0,0.00,
Exercised,0,(7),55.67,
Plan shares expired or canceled,2,(2),116.84,
"Balance as of January 31, 2020",77,27,$98.56,"$2,222"
Vested or expected to vest,,25,$ 95.80,"$2,155"
"Exercisable as of January 31,2020",,14,$66.34,"$1,589"
