Exhibit No.,Exhibit Description,Provided Herewith,Incorporated by Reference,Form,SEC File No.,Exhibit,Filing Date
2.1,"Agreement and Plan of Merger, dated as of March 20, 2018, by and among salesforce.com, inc., Malbec Acquisition Corp. and MuleSoft, Inc.",8-K,,,,,
2.2,"Agreement and Plan of Merger, dated as of June 9, 2019, by and among salesforce.com, inc., Sausalito Acquisition Corp. and Tableau Software, Inc.",8-K,,,,,
3.1,"Amended and Restated Certificate of Incorporation of salesforce.com, inc.",8-K,,,,,
3.2,"Amended and Restated Bylaws of salesforce.com, inc.",8-K,,,,,
4.1,Specimen Common Stock Certificate,,S-1/A,333-111289,4.2,4/20/2004,
4.2,"Indenture, dated April 11, 2018, between the Company and U.S. Bank National Association, as trustee",8-K,,,,,
4.3,"First Supplemental Indenture, dated April 11, 2018, between the Company and U.S. Bank National Association, as trustee",,,,,,
4.4,Form of 2023 Notes,8-K,,,,,
4.5,Form of 2028 Notes,8-K,,,,,
4.6,Description of Common Stock,X,,,,,
10.1*,"Form of Indemnification Agreement between salesforce.com, inc. and its officers and directors",,S-1/A,333-111289,10.1,4/20/2004,
10.2*,Amended and Restated 2013 Equity Incentive Plan,8-K,,,,,
10.3*,Amended and Restated 2004 Employee Stock Purchase Plan,8-K,,,,,
10.4*,"MetaMind, Inc. 2014 Stock Incentive Plan",,S-8,333-211510,4.1,5/20/2016,
10.5*,"2014 Inducement Equity Incentive Plan, as amended",,S-8,333-213685,4.3,6/7/2019,
10.6*,Related forms of equity agreements under the Amended and Restated 2014 Inducement Equity Incentive Plan,,,,,,
10.7*,Related forms of equity agreements under the Amended and Restated 2013 Equity Incentive Plan,,,,,,
10.8*,Related forms of equity agreements under the Amended and Restated 2004 Employee Stock Purchase Plan,,,,,,
