Investments classified as Marketable Securities,Amortized Cost,Unrealized Gains,Unrealized Losses,Fair Value
Corporate notes and obligations,"$2,199",9,(-1),"$2,207"
U.S. treasury securities,$182,1,0,$183
Mortgage backed obligations,$225,1,0,$226
Asset backed securities,$779,2,0,$781
Municipal securities,$157,1,0,$158
Foreign government obligations,$69,0,0,$69
U.S. agency obligations,$12,0,0,$12
Time deposits,$1,0,0,$1
Covered bonds,$165,0,0,$165
Total marketable securities,"$3,789",14,(-1),"$3,802"
