,Common Stock,Common Stock,Additional Paid-in Capital,Accumulated Other Comprehensive Loss,Retained Earnings,Total Stockholders' Equity
,Shares,Amount,Additional Paid-in Capital,Accumulated Other Comprehensive Loss,Retained Earnings,Total Stockholders' Equity
"Balance at January 31,2017",707,$1,"$8,040",$(86),$275,"$8,230"
Common stock issued,23,0,709,0,0,709
Shares issued related to business combinations,0,0,12,0,0,12
Temporary equity reclassifications,,,,,,
related to convertible notes,0,0,(4),0,0,(4)
Stock-based expenses,0,0,995,0,0,995
"Other comprehensive income, net of",,,,,,
tax,0,0,0,74,0,74
Net income .,0,0,0,0,360,360
"Balance at January 31, 2018",730,1,"9,752",(12),635,"10,376"
Cumulative effect of accounting,,,,,,
changes,0,0,0,(7),(10),(17)
Common stock issued,21,0,695,0,0,695
Shares issued related to business,13,,"2,195",,,
combinations Settlement of convertible notes and,,0,,0,0,"2,195"
,6,0,4,0,0,
warrants,0,0,"1,281",,,4
Stock-based expenses,,,,0,0,"1,281"
"Other comprehensive loss, net of",0,,,,,
tax,,0,0,(39),0,(39)
Net income,0,0,0,0,"1,110","1,110"
"Balance at January 31,2019",770,1,"13,927",(58),"1,735","15,605"
Common stock issued,21,0,816,0,0,816
Shares issued related to business,,,,,,
combinations,102,0,"15,588",0,0,"15,588"
Stock-based expenses,0,0,"1,785",0,0,"1,785"
"Other comprehensive loss, net of",0,0,0,,,
tax Net income..,0,,0,(35),0,(35)
,,0,,0,126,126
"Balance at January 31, 2020",893,$1,"$32,116",$(93),"$1,861","$33,885"
