"As of January 31, 2020",,Operating leases:,
,,Operating lease right-of-use assets,"$3,040"
,,"Operating lease liabilities,current",$750
,,Noncurrent operating lease liabilities,"$2,445"
,,Total operating lease liabilities,"$3,195"
,,Finance leases:,
,,Buildings and building improvements,$325
,,"Computers,equipment and software",$468
,,Accumulated depreciation,(404)
,,"Property and equipment,net",$389
,,Accrued expenses and other liabilities,$53
,,Other noncurrent liabilities,$332
,,Total finance lease liabilities,$385
