Description,Quoted Prices in Active Markets for Identical Assets (Level 1),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3),"Balance as of January 31, 2019"
Cash equivalents (1):,$ 314,$ 0,,$ 314
Cash equivalents (1):,"1,234",$ 0,,"1,234"
Marketable securities:,,Corporate notes and obligations,0,"1,019"
Marketable securities:,,U.S. treasury securities,0,88
Marketable securities:,,Mortgage backed obligations,0,78
Marketable securities:,,Asset backed securities,0,244
Marketable securities:,,Municipal securities,0,104
Marketable securities:,,Foreign government obligations,0,57
Marketable securities:,,U.S. agency obligations,0,4
Marketable securities:,,Time deposits,0,4
Marketable securities:,,Covered bonds,0,75
Strategic investments:,Publicly held equity securities,,0,436
Foreign currency derivative contracts (2),,0,42,42
Total assets,"$1,670","$ 2,029",,"$ 3,699"
Liabilities:,Foreign currency derivative contracts (3),,0,0.17
Total liabilities,$ 0,$ 17,,$ 17
