Description,Quoted Prices in Active Markets for Identical Assets (Level 1),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3),"Balance as of January 31, 2020"
Cash equivalents (1):,$ 746,$ 746,,$ 746
Cash equivalents (1):,Money market mutual funds,"1,293",,"1,293"
Marketable securities:,Corporate notes and obligations,0,"2,207","2,207"
Marketable securities:,U.S. treasury securities,0,183,183
Marketable securities:,Mortgage backed obligations,0,226,226
Marketable securities:,Asset backed securities,0,781,781
Marketable securities:,Municipal securities,0,158,158
Marketable securities:,Foreign government obligations,0,69,69
Marketable securities:,U.S. agency obligations,0,12,12
Marketable securities:,Time deposits,0,1,1
Marketable securities:,Covered bonds,0,165,165
Strategic investments:,Publicly held equity securities,370,,370
Foreign currency derivative contracts (2),,28,,28
Total assets,"$ 1,663","$ 4,576",,"$ 6,239"
Liabilities:,Foreign currency derivative contracts (3),,24,0.24
Total liabilities,$ 0,$ 24,,$ 24
