Stock Options,"Fiscal Year Ended January 31,","Fiscal Year Ended January 31,","Fiscal Year Ended January 31,"
Stock Options,2020,2019,2018
Volatility,27-30%,27-28%,28-31%
Estimated life,3.5 years,3.5 years,3.5 years
Risk-free interest rate Weighted-average fair value per share of,1.6-2.5%,2.5-3.0%,1.4-2.3%
grants,$ 39.59,$ 28.89,$ 22.71
grants,,"Fiscal Year Ended January 31,",
grants,2020,2019,2018
Volatility,28-33%,23-26%,21-28%
Estimated life,0.75 years,0.75 years,0.75 years
Risk-free interest rate,1.6-2.1%,2.0-2.6%,1.1-1.7%
Weighted-average fair value per share of,,,
grants,$ 41.43,$ 32.90,$ 23.64
