Exhibit No.,Provided Herewith,Form,SEC File No.,Exhibit,Filing Date
10.31*,"Letter Agreement, dated as of June 9, 2019, by and among salesforce.com, inc., Sausalito Acquisition Corp. and Christian Chabot, Patrick Hanrahan and Christopher Stolte.",8-K,001-32224,10.1,6/10/2019
21.1,List of Subsidiaries,,,,
23.1,Consent of Independent Registered Public Accounting Firm,,,,
24.1,Power of Attorney (incorporated by reference to the signature page of this Annual Report on Form 10-K),,,,
31.1,"Certification of Chief Executive Officer, Marc Benioff, pursuant to Exchange Act Rule 13a-14(a) or 15(d)-14(a), as adopted pursuant to Section 302 of the Sarbanes-Oxley Act of 2002",,,,
31.2,"Certification of Chief Financial Officer pursuant to Exchange Act Rule 13a-14(a) or 15(d)-14(a), as adopted pursuant to Section 302 of the Sarbanes-Oxley Act of 2002",,,,
32.1,"Certification of Chief Executive Officer and Chief Financial Officer pursuant to 18 U.S.C. Section 1350, as adopted pursuant to Section 906 of the Sarbanes-Oxley Act of 2002",,,,
101.INS,Inline XBRL Instance Document,,,,
101.SCH,Inline XBRL Taxonomy Extension Schema Document,,,,
101.CAL,Inline XBRL Taxonomy Extension Calculation Linkbase Document,,,,
101.DEF,Inline XBRL Extension Definition,,,,
101.LAB,Inline XBRL Taxonomy Extension Label Linkbase Document,,,,
101.PRE,Inline XBRL Taxonomy Extension Presentation Linkbase Document,,,,
104,"The cover page from the Company's Annual Report on Form 10-K for the year ended January 31, 2020, formatted in Inline XBRL (included in Exhibit 101).",,,,
