,"Fiscal Year Ended January 31,","Fiscal Year Ended January 31,","Fiscal Year Ended January 31,"
,2020,2019,2018
,,$206,$142
"U.S.federal taxes at statutory rate (1) State,net of the federal benefit",$148 40,79,(21)
Effects of non-U.S.operations (2),540,379,(35)
Tax credits,(195),,(107)
Non-deductible expenses,119,(132) 63,53
Excess tax benefits related to shared based,,,
compensation,(166),(137),(135)
Effect of U.S. tax law change,6,43,126
Change in valuation allowance,85,(612),42
"Other, net",3,(16),(5)
Provision for (benefit from) income taxes,$580,$(127),$ 60
