Signature,Title,Date
/s/Marc Benioff Marc Benioff,Chair of the Board and Chief Executive Officer (Principal,"March 5,2020"
/s/Mark J.Hawkins,Executive Officer) President and Chief Financial,"March 5,2020"
Mark J.Hawkins,Officer (Principal Financial Officer),
/s/Joe Allanson,"Executive Vice President, Chief Accounting Officer and","March 5,2020"
Joe Allanson,Corporate Controller (Principal Accounting Officer),
/s/Craig Conway,Director,"March 5,2020"
Craig Conway,"Director, Co-Founder and Chief",
/s/Parker Harris Parker Harris,Technology Officer,"March 5,2020"
/s/Alan Hassenfeld,Director,"March 5,2020"
Alan Hassenfeld,,
/s/Neelie Kroes,Director,"March 5,2020"
Neelie Kroes,,
/s/Colin Powell,Director,"March 5,2020"
Colin Powell,,
/s/Sanford R.Robertson,Director,"March 5,2020"
Sanford R.Robertson,,
/s/John V.Roos,Director,"March 5,2020"
John V. Roos,,
,Director,
/s/Robin Washington Robin Washington,,"March 5,2020"
