,Quoted Prices in Active Markets for Identical Assets (Level 1),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3),Significant Unobservable Inputs (Level 3),"Balance as of January 31, 2019"
Cash equivalents (1): Time deposits,$ 0,$ 314,$,0,$ 314
Money market mutual,"1,234",0,,0,"1,234"
funds.. Marketable securities:,,,,,
Corporate notes and,0,,,,
obligations,,"1,019",,0,"1,019"
U.S. treasury securities,0,88,,0,88
Mortgage backed,0,78,,0,78
obligations,0,244,,0,
Asset backed securities,0,104,,,244
Municipal securities,,,,0,104
Foreign government,0,57,,0,57
obligations,0,4,,0,
U.S.agency obligations,,4,,,4
Time deposits,0,,,0,4
Covered bonds Strategic investments:,0,75,,0,75
Publicly held equity,,,,,
securities,436,0,,0,436
Foreign currency derivative contracts (2),0,42,,0,42
Total assets,"$1,670","$2,029",$,0,"$3,699"
Liabilities: Foreign currency derivative,,,,,
contracts (3),0,17,,0,17
Total liabilities,$ 0,$ 17,$,0,$ 17
