1st Quarter,2nd Quarter,in millions,except per share data,4th Quarter,Fiscal Year
Fiscal 2020,Revenues,"$3,737","$3,997","$4,513","$4,851,$17,098"
Fiscal 2020,Gross profit,"2,823","3,030","3,379","3,631,12,863"
Fiscal 2020,Income (loss) from operations,210,58,65,"(36),297"
Fiscal 2020,Net income (loss),392,91,(109),"(248),126"
Fiscal 2020,Basic net income (loss) per share,$ 0.51,$ 0.12,(0.12),"(0.28),0.15"
Fiscal 2020,Diluted net income (loss) per share,$ 0.49,$ 0.11,(0.12),"(0.28),0.15"
Fiscal 2019,Revenues,"$3,006","$3,281","$3,392","$3,603,$13,282"
Fiscal 2019,Gross profit,"2,239","2,432","2,503","2,657,9,831"
Fiscal 2019,Income from operations,191,115,92,"137,535"
Fiscal 2019,Net income,344,299,105,"362,1,110"
Fiscal 2019,Basic net income per share,$ 0.47,$ 0.40,$ 0.14,"$ 0.47,1.48"
Fiscal 2019,Diluted net income per share,$ 0.46,$ 0.39,$ 0.13,"$ 0.46,1.43"
