Exhibit No.,Exhibit Description,Provided Herewith,IncorporatedbyReference,IncorporatedbyReference,IncorporatedbyReference,IncorporatedbyReference
Exhibit No.,Exhibit Description,Provided Herewith,Form,SEC File No.,Exhibit,Filing Date
2.1,"Agreement and Plan of Merger, dated as of March 20, 2018,by and among salesforce.com, inc.,Malbec Acquisition",,,,,
2.2,"Corp. and MuleSoft, Inc. Agreement and Plan ofMerger, dated as of",,8-K,001-32224,2.1,3/21/2018
,"June 9,2019,by and among salesforce.com, inc., Sausalito Acquisition Corp.and Tableau Software,Inc.",,8-K,001-32224,2.1,6/10/2019
3.1,"Amended and Restated Certificate of Incorporation of salesforce.com, inc.",,8-K,001-32224,3.1,6/7/2019
3.2,"Amended and Restated Bylaws of salesforce.com, inc.",,8-K,001-32224,3.2,6/7/2019
4.1,Specimen Common Stock Certificate,,,S-1/A 333-111289,4.2,4/20/2004
4.2,"Indenture,dated April11,2018,between the Company and U.S.Bank National Association,as trustee",,8-K,001-32224,4.1,4/11/2018
4.3,"First Supplemental Indenture,dated April 11,2018,between the Company and",,,,,
4.4,"U.S.Bank National Association, as trustee Form of 2023 Notes",,8-K,001-32224,4.2,4/11/2018
4.5,Form of 2028 Notes,,8-K,001-32224,4.2,4/11/2018
4.6,Description of Common Stock,X,8-K,001-32224,4.2,4/11/2018
10.1*,"Form of Indemnification Agreement between salesforce.com, inc.and its",,,,,
10.2*,officers and directors Amended and Restated 2013 Equity,,,S-1/A 333-111289,10.1,4/20/2004
10.3*,Incentive Plan Amended and Restated 2004 Employee,,8-K,001-32224,10.1,6/7/2019
10.4*,"Stock Purchase Plan MetaMind, Inc.2014 Stock Incentive Plan",,8-K,001-32224,10.2 4.1,6/7/2017 5/20/2016
10.5*,"2014 Inducement Equity Incentive Plan,as",,S-8,333-211510,,
10.6*,amended Related forms of equity agreements under the Amended and Restated 2014,,,S-8 333-213685,4.3,6/7/2019
10.7*,Inducement Equity Incentive Plan Related forms of equity agreements under,X,,,,
,the Amended and Restated 2013 Equity Incentive Plan,X,,,,
10.8*,Related forms of equity agreements under,,,,,
,the Amended and Restated 2004 Employee Stock Purchase Plan,X,,,,
Exhibit No.,Exhibit Description,Provided Herewith Form,,IncorporatedbyReference SEC File No.,Exhibit,Filing Date
10.9*,Optimizer TopCo S.A.R.L.2015 Share Incentive Plan.,,,S-8 333-234072,4.3,10/3/2019
10.10*,"Gratitude Bonus Plan,as amended and restated August 21,2019,effective August 21, 2019",,,001-32224,10.4,8/23/2019
10.11*,Form of Offer Letter for Executive Officers and schedule of omitted details thereto,,,001-3222410.11,,3/9/2012
10.12*,"Employment Offer Letter, dated May 2, 2013 between salesforce.com, inc.and Keith Block",,,001-32224,10.1,6/11/2013
10.13*,"Employment Offer Letter,dated June 11, 2014, between salesforce.com, inc. and Mark Hawkins",,,,10.1,6/30/2014
10.14*,Form of Change of Control and Retention Agreement as entered into with Marc Benioff Form of Change of Control and Retention,,,,10.13,3/9/2009
,"Agreement as entered into on or prior to 2014 with Parker Harris, Keith Block, Mark Hawkins,Alex Dayon and Joe Allanson",,,,,
10.16*,Form of Change of Control and Retention Agreement entered into with non-CEO Executive Officers after 2014,X,,,,
10.17*,Salesforce Tableau Equity Incentive Plan,,S-8,POS333-232530,4.4,8/1/2019
10.18* 10.19*,Founder Restricted Stock Agreement Non-Employee Director Compensation,X,,,,
,Program and related form of Director RSU Agreement,X,,,,
10.20,"Office Lease dated as of April 10,2014 by and between salesforce.com, inc.and Transbay Tower LLC",,10-Q,001-32224,10.2,5/30/2014
10.21,"Purchase and Sale Agreement, dated November 10,2014,between salesforce.com,inc.and 5O Fremont Tower, LLC",,,,,11/26/2014
10.22,"Amended and Restated Credit Agreement, dated as of July 7,2016, by and among salesforce.com, inc.,the subsidiaries of the Company party thereto as guarantors, the",,,,,
