"Balance as of January 31, 2019",Shares Available for Grant (in millions),Outstanding Stock Options (in millions),Weighted-Average Exercise Price,Aggregate Intrinsic Value (in millions)
"Balance as of January 31, 2019",64,26,$ 74.15,2222
Increase in shares authorized:,36,0,0.00,0
2013 Equity Incentive Plan,36,0,0.00,0
2014 Inducement Plan,2,0,0.00,0
Assumed equity plans,13,0,0.00,0
Options granted under all plans,10,10,132.72,0
Restricted stock activity,28,0,0.00,0
Performance-based restricted stock units,2,0,0.00,0
Exercised,0,-7,55.67,0
Plan shares expired or canceled,2,-2,116.84,0
"Balance as of January 31, 2020",77,27,$ 98.56,2222
Vested or expected to vest,25,$ 95.80,2155,
"Exercisable as of January 31, 2020",14,$ 66.34,1589,
