,,Capital Leases (1),Operating Leases (2),Financing Obligation-Leased Facility (3)
Fiscal Period:,Fiscal Period:,,,
Fiscal 2020,,$200,$778,$22
Fiscal 2021,,0,658,23
Fiscal 2022,,0,466,23
Fiscal 2023,,0,369,24
Fiscal 2024,,0,314,24
Thereafter,,0,"1,610",163
Total minimum lease payments,Total minimum lease payments,200,"$4,195",$279
Less:amount representing interest,Less:amount representing interest,(9),,
Present value of capital lease,Present value of capital lease,,,
obligations,obligations,$191,,
