1st Quarter,2nd Quarter,"in millions, except per share data",4th Quarter,Fiscal Year
Fiscal 2020,"(in millions, except per share data)","$3,737","$3,997","$4,513"
Revenues,,"$3,737","$3,997","$4,513"
Gross profit,,"2,823","3,030","3,379"
Income (loss) from operations,,210,58,65
Net income (loss),,$392,$ 91,$(109)
Basic net income (loss) per share,,,$0.12,$(0.12)
Diluted net income (loss) per share,,$ 0.51 $ 0.49,$0.11,$(0.12)
Fiscal 2019,,,,
Revenues,,"$3,006","$3,281","$3,392"
Gross profit,,"2,239","2,432","2,503"
Income from operations,,191,115,92
Net income,,$ 344,$ 299,$105
Basic net income per share,,$ 0.47,$ 0.40,$0.14
Diluted net income per share,,$ 0.46,$0.39,$ 0.13
