As of January 31, 2020, Operating leases: Operating lease right-of-use assets,"$3,040"
As of January 31, 2020, Operating leases: Operating lease liabilities,"current,$750"
As of January 31, 2020, Noncurrent operating lease liabilities,"$2,445"
As of January 31, 2020, Total operating lease liabilities,"$3,195"
As of January 31, 2020, Finance leases: Buildings and building improvements,$325
As of January 31, 2020, Computers,"equipment and software,$468"
As of January 31, 2020, Accumulated depreciation,($404)
As of January 31, 2020, Property and equipment,"net,$389"
As of January 31, 2020, Accrued expenses and other liabilities,$53
As of January 31, 2020, Other noncurrent liabilities,$332
As of January 31, 2020, Total finance lease liabilities,$385
