,PaymentsDue byPeriod,PaymentsDue byPeriod,PaymentsDue byPeriod,PaymentsDue byPeriod,PaymentsDue byPeriod
,Total,Less than 1 Year,1-3 Years,3-5 Years,More than 5Years
Operating lease obligations:,,,,,
Facilities space,"$3,226",$493,$ 913,$ 700,"$1,120"
Computer equipment and furniture and,,,,,
fixtures,587,356,231,0,0
Financing obligations,571,67,46,48,410
Lease obligation—buildings to be constructed,"2,142",1,79,266,"1,796"
2023 Senior Notes,"1,000",0,0,"1,000",0
2028 Senior Notes,"1,500",0,0,0,"1,500"
Loan assumed on 5O Fremont,194,4,8,182,0
Contractual commitments,"2,522",398,"1,069",839,216
,"$11,742","$1,319","$2,346","$3,035","$5,042"
