"Fiscal Year Ended January 31,",2020,2019,2018
Revenues:Subscription and support,"$16,043","$12,413","$9,766"
Professional services and other,"1,055",869,774
Total revenues,"17,098","13,282","10,540"
Cost of revenues (1)(2):Subscription and support,"3,198","2,604","2,033"
Professional services and other,"1,037",847,740
Total cost of revenues,"4,235","3,451","2,773"
Gross profit,"12,863","9,831","7,767"
Operating expenses (1)(2):Research and development,"2,766","1,886","1,553"
Marketing and sales,"7,930","6,064","4,671"
General and administrative,"1,704","1,346","1,089"
Loss on settlement of Salesforce.org reseller agreement (Note 7),166,,
Total operating expenses,"12,566","9,296","7,313"
Income from operations,297,535,454
"Gains on strategic investments, net",427,542.19,
Other expense,-18,-94,-53
Income before benefit from (provision for) income taxes,706,983,420
Benefit from (provision for) income taxes (3),580,127,(60)
Net income,$ 126,"$ 1,110",$ 360
Basic net income per share,$ 0.15,$ 1.48,$ 0.50
Diluted net income per share,$ 0.15,$ 1.43,$ 0.49
Shares used in computing basic net income per share,829,751,715
Shares used in computing diluted net income per share,850,775,735
