Fiscal Year Ended January 31,,2020,% of Total Revenues,2019,% of Total Revenues,2018,% of Total Revenues
Revenues:,Subscription and support,"$16,043",94%,"$12,413",93%,"$ 9,766",93%
Revenues:,Professional services and other,"$ 1,055",6,$ 869,7,$ 774,7
Revenues:,Total revenues,"$17,098",100,"$13,282",100,"$10,540",100
Cost of revenues (1)(2):,Subscription and support,"$3,198",19,"$2,604",20,"$2,033",19
Cost of revenues (1)(2):,Professional services and other,"$1,037",6,$847,6,$740,7
Cost of revenues (1)(2):,Total cost of revenues,"$4,235",25,"$3,451",26,"$2,773",26
Gross profit,"$12,863",75,"$9,831",74,"$7,767",74,
Operating expenses (1)(2):,Research and development,"$2,766",16,"$1,886",14,"$1,553",15
Operating expenses (1)(2):,Marketing and sales,"$7,930",46,"$6,064",46,"$4,671",44
Operating expenses (1)(2):,General and administrative,"$1,704",10,"$1,346",10,"$1,089",10
Operating expenses (1)(2):,Loss on settlement of Salesforce.org reseller agreement,$166,1,$0,0,$0,0
Operating expenses (1)(2):,Total operating expenses,"$12,566",73,"$9,296",70,"$7,313",69
Income from operations,$297,2,$535,4,$454,5,
Gains on strategic investments, net,$427,2,$542,4,$19,0
Other expense,$(18),0,$(94),(1),$(53),(1),
Income before benefit from (provision for) income taxes,$706,4,$983,7,$420,4,
Benefit from (provision for) income taxes (3),$(580),(3),$127,1,$(60),(1),
Net income,$126,1%,"$1,110",8%,$360,3%,
