Trump voters,Trump voters,Trump voters,Clinton voters,Clinton voters
67,Happy,101,Shocked,Shocked
60,Surprised,68,Disappointed,Disappointed
46,Relieved,45,Disgusted,Disgusted
29,Shocked,36,Surprised,Surprised
26,Hopeful,29,Horrified,Horrified
26,Elated,18,Sad,Sad
25,Great,16,Devastated,Devastated
18,Ecstatic,16,Fearful,Fearful
16,Excited,14,Disbelief,Disbelief
15,Glad,10,Stunned,Stunned
12,Awesome,9,Scared,Scared
12,Good,8,Dismayed,Dismayed
11,Pleased,8,Sickening,Sickening
10,Change,8,Unbelievable,Unbelievable
9,Thankful,7,Disastrous,Disastrous
N=533,N=533,N=533,N=587,N=587
