Missions 2012-2017,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18
RESOURCESAT-2A,,,IRNSS-1E,",IRNSS-1F",,IRNSS-1G
SCATSAT,,,IRNSS-1C,",IRNSS-1D",,GSAT-16
INSAT-3DR,,,IRNSS-1B,",",GSAT-6,GSAT-15
,,ASTROSAT,,,,
,,CARE,,,,
,,RLV-TD,,,,
Mk III-D1,,F09,",C38",",",C37,
,,C36,",C30,C31,C32,C33,C34",,,
,,C28,"C29,C26,C27",,,
,,C24,C23,,,
,,D5,,,,
SPACE MISSIONS,,,,,,
EARTH OBSERVATION SATELLITES,RISAT-1,SARAL,,,,
COMMUNICATION & NAVIGATION SATELLITES,,IRNSS-1A,GSAT-14,INSAT-3D,GSAT-7,
SPACE SCIENCE & PLANETARY EXPLORATION SATELLITES,,,,Mars Orbiter,,
TECHNOLOGY DEVELOPMENT,,,,,,
LAUNCH VEHICLES,,,,,PSLV,GSLV-MKIII
,,,,,GSLV,
