Missions 2012-2017,2014-15,2015-16,2016-17
RESOURCESAT-2A,,IRNSS-1E,",IRNSS-1F,,IRNSS-1G"
SCATSAT,,IRNSS-1C,",IRNSS-1D,,GSAT-16"
INSAT-3DR,,IRNSS-1B,",GSAT-6,,GSAT-15"
,,ASTROSAT,
,,CARE,
,,RLV-TD,
Mk III-D1,,F09,",C38,,C37"
,,C36,",C30,C31,C32,C33,C34"
,,C28,"C29,C26,C27"
,,C24,C23
,,D5,
SPACE MISSIONS\t2012-13\t2013-14\t2014-15\t2015-16\t2016-17\t2017-18,,,
EARTH OBSERVATION SATELLITES\tRISAT-1\tSARAL\t\t\t\t,,,
COMMUNICATION & NAVIGATION SATELLITES\t\tIRNSS-1A\tGSAT-14\tINSAT-3D\tGSAT-7\t\t,,,
SPACE SCIENCE & PLANETARY EXPLORATION SATELLITES\t\t\t\tMars Orbiter\t\t,,,
TECHNOLOGY DEVELOPMENT\t\t\t\t\t\t,,,
LAUNCH VEHICLES\t\t\t\t\t\tPSLV\tGSLV-MKIII\tGSLV,,,
