Symbol,Parameter,Min,Max,Units
VPP,Programming Supply Voltage,12.5,13.0,V
Ipp,Programming Supply Current,,50,mA
1/TCLCL,Oscillator Frequency,4,6,MHz
TAVGL,Address Setup to PROG Low,48TCLCL,,
TGHAX,Address Hold After PROG,48TCLCL,,
TDVGL,Data Setup to PROG Low,48TCLCL,,
TGHDX,Data Hold After PROG,48TCLCL,,
TEHSH,P2.7 (ENABLE) High to VPP,48TCLCL,,","
TSHGL,VPP Setup to PROG Low,10,,µs
TGHSL,VPP Hold After PROG,10,,µs
TGLGH,PROG Width,90,110,µs
TAVQV,Address to Data Valid,,48TCLCL,","
TELQV,ENABLE Low to Data Valid,,48TCLCL,","
TEHQZ,Data Float After ENABLE,0,48TCLCL,",,"
TGHGL,PROG High to PROG Low,10,,µs
